iso_code,GDLCODE,Nr_individuals,Nr_households,Data_Availability
COL,COLr106,976057,294363,LIS: survey (4)
COL,COLr107,471821,126498,LIS: survey (4)
COL,COLr108,1361895,363579,LIS: survey (4)
COL,COLr109,1016507,276608,LIS: survey (4)
COL,COLr110,1688399,448823,LIS: survey (4)
COL,COLr111,2647024,787165,LIS: survey (4)
COL,COLr112,493848,128498,LIS: survey (4)
COL,COLr113,1140511,308746,LIS: survey (4)
COL,COLr114,946150,245542,LIS: survey (4)
COL,COLr115,1244486,336580,LIS: survey (4)
COL,COLr116,949474,285114,LIS: survey (4)
COL,COLr117,1722665,461610,LIS: survey (4)
COL,COLr118,1339167,380825,LIS: survey (4)
COL,COLr119,558434,170365,LIS: survey (4)
COL,COLr120,940024,273233,LIS: survey (4)
COL,COLr121,2035286,609343,LIS: survey (4)
COL,COLr122,840938,235352,LIS: survey (4)
COL,COLr123,1390892,393782,LIS: survey (4)
COL,COLr124,4556767,1410258,LIS: survey (4)
COL,COLr125,258994,72324,LIS: survey (4)
COL,COLr126,352156,100502,LIS: survey (4)
COL,COLr127,340730,91229,LIS: survey (4)
COL,COLr128,75567,23282,LIS: survey (4)
COL,COLr129,75063,20056,LIS: survey (4)
COL,COLr130,40890,10401,LIS: survey (4)
COL,COLr131,64089,18349,LIS: survey (4)
COL,COLr132,43240,10695,LIS: survey (4)
COL,COLr133,30891,8848,LIS: survey (4)
COM,COMr101,357291,78268,No data (105)
COM,COMr102,51518,11211,No data (105)
COM,COMr103,368724,78964,No data (105)
CPV,CPVr101,57320,13741,No data (105)
CPV,CPVr102,101525,25624,No data (105)
CPV,CPVr103,148419,34326,No data (105)
CPV,CPVr104,171634,43716,No data (105)
CPV,CPVr105,45942,11448,No data (105)
CPV,CPVr106,-99,-99,No data (105)
CRI,CRIr101,1563161,441886,IPUMS: marginals (5)
CRI,CRIr102,935392,259178,IPUMS: marginals (5)
CRI,CRIr103,531690,141430,IPUMS: marginals (5)
CRI,CRIr104,455720,127443,IPUMS: marginals (5)
CRI,CRIr105,374693,104678,IPUMS: marginals (5)
CRI,CRIr106,534149,152466,IPUMS: marginals (5)
CRI,CRIr107,416634,117106,IPUMS: marginals (5)
CUB,CUBr101,811356,247135,No data (105)
CUB,CUBr102,767058,238530,No data (105)
CUB,CUBr103,2036335,719285,No data (105)
CUB,CUBr104,496257,155560,No data (105)
CUB,CUBr105,-99,-99,No data (105)
CUB,CUBr106,-99,-99,No data (105)
CUB,CUBr107,-99,-99,No data (105)
CUB,CUBr108,-99,-99,No data (105)
CUB,CUBr109,-99,-99,No data (105)
CUB,CUBr110,-99,-99,No data (105)
CUB,CUBr111,-99,-99,No data (105)
CUB,CUBr112,-99,-99,No data (105)
CUB,CUBr113,-99,-99,No data (105)
CUB,CUBr114,-99,-99,No data (105)
CUB,CUBr115,-99,-99,No data (105)
CYP,CYPt,1160862,464162,No data (105)
CZE,CZEr101,1263138,600275,LIS: survey + marginals (38)
CZE,CZEr102,1321055,534569,LIS: survey + marginals (38)
CZE,CZEr103,1212942,515462,LIS: survey + marginals (38)
CZE,CZEr104,1122008,476024,LIS: survey + marginals (38)
CZE,CZEr105,1506923,626215,LIS: survey + marginals (38)
CZE,CZEr106,1683295,689054,LIS: survey + marginals (38)
CZE,CZEr107,1220025,488985,LIS: survey + marginals (38)
CZE,CZEr108,1215030,509866,LIS: survey + marginals (38)
