"GDLcode","X1","X2","X3"
"BDIr103",1196907.83362674,0,158846.759373257
"BDIr104",1708238.37603063,0,775702.831969366
"BDIr105",1920202.08736433,177.760272847623,249599.784362818
"KHMr101",61323.626586588,526787.819432815,182982.917080597
"KHMr102",110072.846005469,1427932.31095087,183094.880043657
"KHMr103",13951.329103116,415826.101395926,71268.8163009579
"KHMr104",88440.6209880998,510134.057823539,180369.428888361
"KHMr105",7484.25330392572,614141.227882288,50485.474113786
"KHMr106",81733.0936567649,895905.100639988,435310.491703247
"KHMr107",1691.39686983549,85490.2091119432,48488.6824182213
"KHMr108",43653.4442664113,341274.271935617,1327510.46079797
"KHMr109",38741.0423060568,808885.508215653,100819.61867829
"KHMr110",28268.0565382876,341731.270178431,42581.7990832811
"KHMr111",63897.0224262085,338851.811035468,79222.8266383234
"KHMr112",265804.752044837,434054.352981512,181106.507073651
"KHMr113",155098.598823076,779567.055562905,527443.363614019
"KHMr114",103534.62230803,553023.315962436,238417.005129534
"KHMr115",15279.7401755976,679265.284751293,31933.6742731096
"KHMr116",17199.7034849253,231197.998896524,51920.1698185509
"KHMr117",48946.3924049427,1165494.87103621,339664.499558847
"CMRr101",465915.470778411,276.405392087496,697469.084829501
"CMRr102",1234123.00850046,18613.0462682792,3453832.47723126
"CMRr103",430153.58096377,13754.0412174466,461838.636318784
"CMRr104",2956852.26306601,0,957058.632933989
"CMRr105",460693.564302316,1275.3854729091,3255912.45822477
"CMRr106",1609693.64324559,0,764157.087754413
"CMRr107",952685.966254435,0,1035909.86674557
"CMRr108",705756.429012096,0,1181415.0969879
"CMRr109",291060.139490338,14405.5609951965,486918.928314465
"CMRr110",24975.7269070792,0,1551754.34709292
"TCDr101",758035.36871739,0,465922.86028261
"TCDr102",1485017.9291264,6433.26290517167,199096.316968427
"TCDr103",1560103.96680242,9792.16731575837,97793.565881818
"TCDr104",2298480.02656395,862.475911970019,69137.0545240847
"TCDr105",1288991.97574593,14243.4087452503,115703.289508819
"TCDr106",1547330.30769077,415.083297612297,85125.6910116214
"TCDr107",2432178.59172809,0,185993.554271909
"TCDr108",1368104.75624242,228.76138532381,129331.75537226
"CODr101",543540.946376026,5249.18654433915,7521361.91607963
"CODr102",2353987.54646571,5927.96994090674,993566.497593385
"CODr103",6217126.27902145,33236.6750812022,324234.817897345
"CODr104",7506736.67806389,13240.8493329368,259700.367603173
"CODr105",8397002.25660418,225454.961220338,801819.614175484
"CODr106",5013988.04309631,0,1437944.11690369
"CODr107",3822418.81083504,24391.2811338834,660037.796031076
"CODr108",2048370.47832637,0,93192.0076736292
"CODr109",11527628.7061267,739.755213093642,3548552.86866017
"CODr110",5865444.98715744,28964.4291289102,1001167.81371365
"CODr111",7684306.42883264,1968.44101883349,681572.669148529
"DOMr101",59174.0263738558,0,3946470.18562614
"DOMr102",40535.6071543885,0,1106410.38184561
"DOMr103",27846.2069145639,0,1554273.56108544
"DOMr104",14348.760843548,0,651919.334856452
"DOMr105",37672.7233521713,0,367522.369547829
"DOMr106",29143.5783020564,0,1024776.82169794
"DOMr107",34269.5925682509,0,261110.296031749
"DOMr108",31526.1594999289,0,398865.767000071
"DOMr109",13841.9609931983,0,730814.946706802
"EGYr101",30352.7052803444,5387.12007730936,9498975.96464235
"EGYr102",7214.8154104654,39681.4847575597,5210469.70883197
"EGYr103",0,2566.22082463163,726721.659775368
"EGYr104",11901.1807675959,115.545444345591,572412.131288059
"EGYr105",125371.385667795,0,1384309.6113322
"EGYr106",326227.970205319,0,6333541.10379468
