GDLCODE,X1est,X2est,X3est,X4est,X5est,X6est,X7est,X8est
KHMr108,41188.9352165738,72261.8087182186,696396.637051307,105382.062509028,30501.0056849709,320451.163115945,138393.508978728,51800.8787252287
KHMr109,21479.7424855518,24500.9698801956,386572.934354144,80656.6810035327,31795.9276497434,324383.326745485,128077.78582895,56593.632052398
KHMr110,11764.3411556901,13558.7166083759,215661.87037011,45596.2048090757,18393.9212793636,187638.884283048,72841.7923190936,32430.2691752432
KHMr111,12174.64355487,14374.538798615,219031.25899333,43964.8405382417,16536.4731081349,172689.795372256,69846.9520840905,30020.4975504616
KHMr112,22066.6927424272,28092.8382861718,389540.09302603,71017.9652527152,25284.4561873093,267878.609503057,111427.739183379,47020.6058189106
KHMr113,27937.1073709824,34910.2335670997,484905.044758548,89346.0330753452,31953.2417253657,337418.882687542,141424.794659628,59827.6621554897
KHMr114,20682.1243369784,24427.8297201867,357579.129963815,70865.5056180452,26632.7074280655,275837.163499111,112997.214484226,48628.3249495724
KHMr115,15089.9770385951,16542.5385237301,294972.310161451,64161.1094994275,27325.8167288037,279188.464753889,103245.72355017,46634.0597439334
KHMr116,5962.89740509208,6470.33832628952,114765.228759129,25155.3204514727,10655.8782237044,108553.136591812,40348.9100857183,18229.2901567821
KHMr117,24082.6704080484,27460.8265667071,457297.6691859,96894.2126843606,39474.3488381726,406139.960768003,151904.862286217,68261.4492625918
KIRr101,1460.66716275279,2225.24085539533,26934.1779331789,4211.5472103011,1363.94071129746,15147.5913137042,6097.81897853825,2401.0158348319
KIRr102,428.58207003647,553.520099870472,8157.49710577726,1437.49856622583,498.10462516817,5466.68342906992,2237.8340156351,934.280088216777
KIRr103,151.819032155976,188.896452462097,2891.18314101388,535.518853526778,192.418493808422,2128.66514320546,844.697384314457,356.801499512929
KIRr104,343.752647429069,443.961642444552,6542.88040156995,1152.9738931299,399.514575081622,4384.66056510366,1794.89862307102,749.357652170218
KIRr105,181.749494853961,236.143733315806,3445.00843734994,599.303166021001,206.884135724544,2278.09733239005,933.801862872924,390.011837471779
KNAt,2295.55346303612,4218.28753444352,24632.8815037675,4039.18047782369,1044.15610389282,9061.24953448104,4203.29954523597,1708.39183731934
