Country;ISO_Code;GDLCODE;Region;GEOLEV1_IPUMS;Label;;;;;;;
Tanzania;TZA;TZAr205;Morogoro;834005;Morogoro [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr206;Pwani;834006;Pwani [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr207;Dar Es Salam;834007;Dar es Salaam [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr208;Lindi;834008;Lindi [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr209;Mtwara;834009;Mtwara [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr210;Ruvuma;834010;Ruvuma [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr211;Iringa, Njombe;834011;Iringa, Njombe [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr212;Mbeya;834012;Mbeya [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr213;Singida;834013;Singida [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr214;Tabora;834014;Tabora [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr215;Rukwa, Katavi;834015;Katavi, Rukwa [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr216;Kigoma;834016;Kigoma [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr217;Shinyanga, Simiyu;834019;Geita, Kagera, Mwanza, Shinyanga, Simiyu [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr218;Kagera;834019;Geita, Kagera, Mwanza, Shinyanga, Simiyu [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr219;Mwanza, Geita;834019;Geita, Kagera, Mwanza, Shinyanga, Simiyu [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr220;Mara;834020;Mara [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr221;Zanzibar North;834051;Zanzibar North [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr222;Zanzibar South;834052;Zanzibar South [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr223;Zanzibar West;834053;Zanzibar Town/West [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr224;Pemba North;834054;Pemba North [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr225;Pemba South;834055;Pemba South [Region: Tanzania];;;;;;;
Uganda;UGA;UGAr101;Central 1 (Central South);101;800101;800105;800106;800110;;;;
Uganda;UGA;UGAr102;Central 2 (Central North);102;800103;800104;800107;800108;;;;
Uganda;UGA;UGAr103;Kampala;103;800102;Kampala [District: Uganda];;;;;;
Uganda;UGA;UGAr104;East Central (Busoga);104;800201;800202;800204;800205;;;;
Uganda;UGA;UGAr105;Eastern (Bukedi, Bugishu, Teso);105;800206;800207;800208;800209;800210;;;
Uganda;UGA;UGAr106;North (Karamoja, Lango, Acholi);106;800302;800304;800305;800306;800307;;;
Uganda;UGA;UGAr107;West Nile;107;800301;800303;800310;;;;;
Uganda;UGA;UGAr108;Western (Bunyoro, Tooro);108;800401;800403;800405;800406;800407;800409;;
Uganda;UGA;UGAr109;Southwest (Ankole, Kigezi);109;800402;800404;800408;800412;;;;
Zimbabwe;ZWE;ZWEr101;Manicaland;716001;Manicaland [Province: Zimbabwe];;;;;;;
Zimbabwe;ZWE;ZWEr102;Mashonaland Central;716002;Mashonaland Central [Province: Zimbabwe];;;;;;;
Zimbabwe;ZWE;ZWEr103;Mashonaland East;716003;Mashonaland East [Province: Zimbabwe];;;;;;;
Zimbabwe;ZWE;ZWEr104;Mashonaland West;716004;Mashonaland West [Province: Zimbabwe];;;;;;;
Zimbabwe;ZWE;ZWEr105;Matebeleland North;716005;Matabeleland North [Province: Zimbabwe];;;;;;;
Zimbabwe;ZWE;ZWEr106;Matebeleland South;716006;Matabeleland South [Province: Zimbabwe];;;;;;;
Zimbabwe;ZWE;ZWEr107;Midlands;716007;Midlands [Province: Zimbabwe];;;;;;;
Zimbabwe;ZWE;ZWEr108;Masvingo;716008;Masvingo [Province: Zimbabwe];;;;;;;
Zimbabwe;ZWE;ZWEr109;Harare;716009;Harare [Province: Zimbabwe];;;;;;;
Zimbabwe;ZWE;ZWEr110;Bulawayo;716000;Bulawayo [Province: Zimbabwe];;;;;;;
Philippines;PHL;PHLr101;National Capital Region;101;608074;608075;608076;608039;;;;
Philippines;PHL;PHLr102;Cordillera Admin Region;102;608001;608011;608015;608027;608032;608044;;
Philippines;PHL;PHLr103;I-Ilocos;103;608014;608028;608029;608033;608055;;;
Philippines;PHL;PHLr104;II-Cagayan Valley;104;608031;608050;608057;;;;;
Philippines;PHL;PHLr105;III-Central Luzon;105;608008;608049;608054;608069;608071;608077;;
Philippines;PHL;PHLr106;IVA-CALABARZON;106;608010;608021;608034;608056;608058;;;
Philippines;PHL;PHLr107;IVB-MIMAROPA;107;608040;608051;608052;608053;608059;;;
Philippines;PHL;PHLr108;V-Bicol;108;608005;608016;608017;608020;608041;608062;;
Philippines;PHL;PHLr109;VI-Western Visayas;109;608004;608006;608019;608030;608045;;;
Philippines;PHL;PHLr110;VII-Central Visayas;110;608012;608022;608046;608061;;;;
Philippines;PHL;PHLr111;VIII-Eastern Visayas;111;608026;608037;608048;608060;608064;608067;608068;
Philippines;PHL;PHLr112;IX-Zamboanga Peninsula;112;608072;608073;;;;;;
Philippines;PHL;PHLr113;X-Northern Mindanao;113;608013;608018;608035;608042;608043;;;
Philippines;PHL;PHLr114;XI-Davao;114;608023;608024;608025;;;;;
Philippines;PHL;PHLr115;XII-SOCCSKSARGEN;115;608047;608065;608063;;;;;
Philippines;PHL;PHLr116;XIII-Caraga;116;608002;608003;;;;;;
Philippines;PHL;PHLr117;BARMM;117;608007;608036;608038;608066;608070;;;
Zambia;ZMB;ZMBr101;Central;894001;;;;;;;;
Zambia;ZMB;ZMBr102;Copperbelt;894002;;;;;;;;
Zambia;ZMB;ZMBr103;Eastern;894003;;;;;;;;
Zambia;ZMB;ZMBr104;Luapula;894004;;;;;;;;
Zambia;ZMB;ZMBr105;Lusaka;894005;;;;;;;;
Zambia;ZMB;ZMBr106;Northern;894003;;;;;;;;
Zambia;ZMB;ZMBr107;North-Western;894008;;;;;;;;
Zambia;ZMB;ZMBr108;Southern;894009;;;;;;;;
Zambia;ZMB;ZMBr109;Western;894010;;;;;;;;
CostaRica;CRI;CRIr101;San Jose;188001;;;;;;;;
CostaRica;CRI;CRIr102;Alajuela;188002;;;;;;;;
CostaRica;CRI;CRIr103;Cartago;188003;;;;;;;;
CostaRica;CRI;CRIr104;Heredia;188004;;;;;;;;
CostaRica;CRI;CRIr105;Guanacaste;188005;;;;;;;;
CostaRica;CRI;CRIr106;Puntarenas;188006;;;;;;;;
CostaRica;CRI;CRIr107;Limon;188007;;;;;;;;
Ecuador;ECU;ECUr101;Coste;101;218009;218007;;;;;;
Ecuador;ECU;ECUr102;Sierra;102;218001;218002;218004;218005;218006;218010;218011;218018
Ecuador;ECU;ECUr103;Oriente;103;218014;218016;218019;218021;;;;
Iran;IRN;IRNr101;Markazi;364000;;;;;;;;
Iran;IRN;IRNr102;Gilan;364001;;;;;;;;
Iran;IRN;IRNr103;Mazandaran;364002;;;;;;;;
Iran;IRN;IRNr104;EastAzarbayejan;364003;;;;;;;;
Iran;IRN;IRNr105;WestAzarbayejan;364004;;;;;;;;
Iran;IRN;IRNr106;Kermanshah;364005;;;;;;;;
Iran;IRN;IRNr107;Khuzestan;364006;;;;;;;;
Iran;IRN;IRNr108;Fars;364007;;;;;;;;
Iran;IRN;IRNr109;Kerman;364008;;;;;;;;
Iran;IRN;IRNr110;Khorasan-e-Razavi;364009;;;;;;;;
Iran;IRN;IRNr111;Esfahan;364010;;;;;;;;
Iran;IRN;IRNr112;Sistanand Baluchestan;364011;;;;;;;;
Iran;IRN;IRNr113;Kordestan;364012;;;;;;;;
Iran;IRN;IRNr114;Hamedan;364013;;;;;;;;
Iran;IRN;IRNr115;Chaharmahal and Bakhtiyari;364014;;;;;;;;
Iran;IRN;IRNr116;Lorestan;364015;;;;;;;;
Iran;IRN;IRNr117;Ilam;364016;;;;;;;;
Iran;IRN;IRNr118;Kohgiluyeh and Boyerahmad;364017;;;;;;;;
Iran;IRN;IRNr119;Bushehr;364018;;;;;;;;
Iran;IRN;IRNr120;Zanjan;364019;;;;;;;;
Iran;IRN;IRNr121;Semnan;364020;;;;;;;;
Iran;IRN;IRNr122;Yazd;364021;;;;;;;;
Iran;IRN;IRNr123;Hormozgan;364022;;;;;;;;
Iran;IRN;IRNr124;Tehran and Alborz;364023;;;;;;;;
Iran;IRN;IRNr125;Ardebil;364024;;;;;;;;
Iran;IRN;IRNr126;Qom;364025;;;;;;;;
Iran;IRN;IRNr127;Qazvin;364026;;;;;;;;
Iran;IRN;IRNr128;Golestan;364027;;;;;;;;
Iran;IRN;IRNr129;North Khorasan;364028;;;;;;;;
Iran;IRN;IRNr130;South Khorasan;364029;;;;;;;;
Mauritius;MUS;MUSr101;North (Port Louis, Pamplemousses, Riviere du Rempart, Flacq, Moka);101;480011;480012;480013;480014;480018;;;
Mauritius;MUS;MUSr102;South (Grand Port, Savanne, Plaines Wilhems, Black River);102;480015;480016;480017;480019;;;;
Mauritius;MUS;MUSr103;Rodrigues;103;480020;;;;;;;
Romania;ROU;ROUr101;Nord-Est;101;642004;642007;642022;642027;642033;642037;;
Romania;ROU;ROUr102;Sud-Est;102;642009;642010;642013;642017;642036;642039;;
Romania;ROU;ROUr103;Sud;103;642003;642051;642015;642029;642034;;;
Romania;ROU;ROUr104;Sud-Vest Oltenia;104;642016;642018;642025;642028;642038;;;
Romania;ROU;ROUr105;Vest;105;642002;642011;642020;642035;;;;
Romania;ROU;ROUr106;Nord-Vest;106;642005;642006;642012;642024;642030;642031;;
Romania;ROU;ROUr107;Centru;107;642001;642008;642014;642019;642026;642032;;
Romania;ROU;ROUr108;Bucuresti;108;642043;;;;;;;
