Country;ISO_Code;GDLCODE;Region;GEOLEV1_IPUMS;Label;;;;;;;
BurkinaFaso;BFA;BFAr106;Centre-Ouest;854006;Centre?Ouest [Region: Burkina Faso];;;;;;;
BurkinaFaso;BFA;BFAr107;Centre-Sud;854007;Centre?Sud [Region: Burkina Faso];;;;;;;
BurkinaFaso;BFA;BFAr108;Est;854008;Est [Region: Burkina Faso];;;;;;;
BurkinaFaso;BFA;BFAr109;Hauts Bassins;854009;Hauts?Bassins [Region: Burkina Faso];;;;;;;
BurkinaFaso;BFA;BFAr110;Nord;854010;Nord [Region: Burkina Faso];;;;;;;
BurkinaFaso;BFA;BFAr111;Plateau Central;854011;Plateau Central [Region: Burkina Faso];;;;;;;
BurkinaFaso;BFA;BFAr112;Sahel;854012;Sahel [Region: Burkina Faso];;;;;;;
BurkinaFaso;BFA;BFAr113;Sud-Ouest;854013;Sud?Ouest [Region: Burkina Faso];;;;;;;
Bangladesh;BGD;BGDr201;Barisal, Jhalokati, Pirojpur;50010;;;;;;;;
Bangladesh;BGD;BGDr202;Barguna, Bhola, Patuakhali;50010;;;;;;;;
Bangladesh;BGD;BGDr203;Chittagong;50020;Chittagong [Division: Bangladesh];;;;;;;
Bangladesh;BGD;BGDr204;Bandarban, Cox s Bazar;50020;;;;;;;;
Bangladesh;BGD;BGDr205;Khagrachhari, Rangamati (Chattagram);50020;;;;;;;;
Bangladesh;BGD;BGDr206;Feni, Lakshmipur, Noakhali;50020;;;;;;;;
Bangladesh;BGD;BGDr207;Brahmanbaria, Chandpur, Comilla;50020;;;;;;;;
Bangladesh;BGD;BGDr208;Dhaka;50030;Dhaka [Division: Bangladesh];;;;;;;
Bangladesh;BGD;BGDr209;Gazipur, Narayanganj, Narsingdi;50030;;;;;;;;
Bangladesh;BGD;BGDr210;Jamalpur, Sherpur, Tangail;50030;;;;;;;;
Bangladesh;BGD;BGDr211;Kishoreganj, Mymensingh, Netrakona;50030;;;;;;;;
Bangladesh;BGD;BGDr212;Faridpur, Manikganj, Rajbari;50030;;;;;;;;
Bangladesh;BGD;BGDr213;Gopalganj, Madaripur, Munshiganj, Shariatpur;50030;;;;;;;;
Bangladesh;BGD;BGDr214;Bagerhat, Khulna, Satkhira;50040;;;;;;;;
Bangladesh;BGD;BGDr215;Jessore, Magura, Narail;50040;;;;;;;;
Bangladesh;BGD;BGDr216;Chuadanga, Jhenaidah, Kushtia, Meherpur;50040;;;;;;;;
Bangladesh;BGD;BGDr217;Naogaon, Nawabganj, Rajshahi;50050;;;;;;;;
Bangladesh;BGD;BGDr218;Natore, Pabna, Sirajganj;50050;;;;;;;;
Bangladesh;BGD;BGDr219;Bogra, Gaibandha, Jaypurhat;50050;;;;;;;;
Bangladesh;BGD;BGDr220;Dinajpur, Nilphamari, Panchagarh, Thakurgaon;50050;;;;;;;;
Bangladesh;BGD;BGDr221;Kurigram, Lalmonirhat, Rangpur;50050;;;;;;;;
Bangladesh;BGD;BGDr222;Maulvibazar, Sylhet;50060;;;;;;;;
Bangladesh;BGD;BGDr223;Habiganj, Sunamganj;50060;;;;;;;;
Bolivia;BOL;BOLr101;Chuquisaca;68001;Chuquisaca [Department: Bolivia];;;;;;;
Bolivia;BOL;BOLr102;La Paz;68002;La Paz [Department: Bolivia];;;;;;;
Bolivia;BOL;BOLr103;Cochabamba;68003;Cochabamba [Department: Bolivia];;;;;;;
Bolivia;BOL;BOLr104;Oruro;68004;Oruro [Department: Bolivia];;;;;;;
Bolivia;BOL;BOLr105;Potosi;68005;Potosí [Department: Bolivia];;;;;;;
Bolivia;BOL;BOLr106;Tarija;68006;Tarija [Department: Bolivia];;;;;;;
Bolivia;BOL;BOLr107;Santa Cruz;68007;Santa Cruz [Department: Bolivia];;;;;;;
Bolivia;BOL;BOLr108;Beni;68008;Beni [Department: Bolivia];;;;;;;
Bolivia;BOL;BOLr109;Pando;68009;Pando [Department: Bolivia];;;;;;;
Egypt;EGY;EGYr101;Cairo;818001;Giza, 6th October City, Cairo, Helwan [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr102;Alexandria;818002;Alexandria [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr103;Port Said;818003;Port Said [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr104;Suez;818004;Suez [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr105;Damietta;818011;Demietta [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr106;Dakahlia;818012;Dakahlia [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr107;Sharkia;818013;Sharkia [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr108;Kalyubia;818014;Kaliobia [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr109;Kafr El-Sheikh;818015;Kafr Sheikh [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr110;Gharbia;818016;Gharbia [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr111;Menoufia;818018;Menoufia, Behera [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr112;Behera;818018;Menoufia, Behera [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr113;Ismailia;818019;Ismailia [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr114;Giza;818001;Giza, 6th October City, Cairo, Helwan [Governorate: Egypt];;;;;;;
