GDLCODE,X1est,X2est,X3est,X4est,X5est,X6est,X7est
SENr104,656463.137670812,281385.290004929,194774.321789685,129865.605876127,84604.2416326068,54844.8146924263,52555.5883334137
SENr105,376890.726746415,154005.218959441,104903.624786418,69804.2015384351,44130.7049318832,28774.6655111721,28116.8575262358
SENr106,846595.73501493,350480.046237877,239149.175399418,158538.134774378,100260.654548387,65018.8042842665,63722.4497407428
SENr107,812482.725434002,391643.593207905,281845.267346773,195598.769084956,137868.896187389,88626.9895285184,78685.7592104579
SENr108,460470.3031783,188157.534353473,128167.133022632,85284.0347731587,53917.1638816386,35155.7573893256,34352.0734014717
SENr109,343563.985895438,148600.369658996,103084.257453346,68900.1525354971,45549.8469000753,29566.3902900386,28290.9972666095
SENr110,599722.789768635,248277.734454111,169411.685778075,112307.360572669,71023.9810607214,46058.8886525556,45140.559713233
SGPt,959428.353534547,667831.529998636,715242.112992493,732197.553402706,790513.130262428,718212.473700448,951576.846108743
SLBt,241609.220030481,119188.663382924,86882.784285788,60662.0889619362,43318.4460231396,27663.5041087594,23793.2932069721
SLEr101,275838.647084705,113207.194550686,77961.8136548187,51634.2437583199,33581.5390894849,21820.3495849637,21078.2122770214
SLEr102,154049.627503983,62782.8469184818,43148.0507467256,28545.7582321523,18545.8258640007,12067.5103293685,11604.3804052878
SLEr103,170567.586982617,69514.7328578096,47774.5971744216,31606.5749663789,20534.4006180126,13361.4481976918,12848.6592030684
SLEr104,342971.693089537,139777.938145654,96063.5884545393,63553.4612451607,41289.8972842733,26866.7605115238,25835.661269312
SLEr105,267004.170337333,108817.413092749,74785.7017116431,49476.5006376198,32144.2701827378,20915.8284621422,20113.1155757749
SLEr106,215769.338941856,87936.6837556182,60435.2411433771,39982.5658986828,25976.1782721788,16902.3370496273,16253.6549386596
SLEr107,340490.738738499,138877.111015033,95541.2476031154,63196.8801804399,41038.4592290331,26721.1174554697,25740.4457784095
SLEr108,208130.295026644,84823.3953140743,58295.6069238689,38567.0330975873,25056.5241288067,16303.930920077,15678.2145889416
SLEr109,281038.26195121,116068.867706784,79877.0381567247,52985.6042914639,34547.5624340932,22317.6369572554,21590.0285024683
SLEr110,110395.153386725,44991.4883139973,30920.7867471138,20456.4815224714,13290.3228921272,8647.82781621512,8315.93932134978
SLEr111,167768.327551459,68373.8961079968,46990.5473201905,31087.865611182,20197.4015690725,13142.167614886,12637.7942252131
SLEr112,135496.732175977,55221.6239142734,37951.5352985412,25107.8630997801,16312.2679411336,10614.1653285529,10206.8122417419
SLEr113,170149.009236994,71047.5906072704,49071.9152107454,32561.9583327246,21219.0690699464,13753.5308492968,13307.9266930224
SLEr114,438088.312604748,208361.346020258,149448.869632888,103005.008836554,72960.9881417001,47101.8998628896,41840.5749009616
SLVr101,447129.168892553,266153.15000117,209238.656187222,159453.327566698,115936.331167349,74210.1676803995,59191.1985046091
SLVr102,900705.355208172,562100.14204951,465737.493711252,375907.067166842,285358.833110206,182117.672641212,158313.436112805
