"GDLcode","X1","X2","X3","X4","X5"
"BRAr113",3396563.19873541,2269569.58211356,1617113.23330719,1130832.15253332,1026710.29131052
"BRAr109",1162381.81879143,774596.512727467,566928.08138659,457930.871051768,340448.713042744
"BRAr119",2431440.94313413,3420564.77936462,3566913.88738737,3584618.84896788,3942641.611146
"BRAr111",1032041.96501342,764469.567306099,636017.339915796,523201.920917283,479589.312847406
"BRAr123",1087795.96200796,1848320.39852284,2270531.4583156,2854096.63721124,3066502.55394236
"BRAr101",389608.819062397,376555.648839192,380701.692331421,317804.364749128,209146.441017863
"BRAr104",109362.857803553,92542.4177716718,107851.372833968,96698.2754205373,114112.247270271
"BRAr122",492264.65259198,984297.295758466,1389247.99372697,1972772.70829868,1858824.1086239
"BRAr120",4087042.75630214,6385154.5935528,9351881.54722807,11457836.0339298,12733939.3689872
"BRAr115",782868.563533183,551073.225360593,374613.488289567,284263.665502215,275489.818314442
"BRAr107",407902.556887187,382490.26659615,292282.137347572,239904.69415705,203055.138012041
"CANr101",113770.3063096,91620.6216994763,87417.7067128987,99934.5693115056,98875.8369665193
"CANr102",59211.6329718082,56339.617188667,53373.0480888137,51383.9926594215,30696.1468912897
"CANr103",242017.172256993,206101.199614609,181901.837686178,175612.008222479,116684.183319741
"CANr104",193622.487858334,184048.527015192,176953.285126108,153809.537362292,56706.692838075
"CANr105",1941388.25025374,1896201.4425621,1758492.39055021,1457206.96343559,896465.536198349
"CANr106",2525952.0884298,2608700.58965994,2609226.71736289,2685796.02864847,3193577.9758989
"CANr107",267386.022824718,300939.976083173,257192.656717665,262033.771083368,206562.355291075
"CANr108",196336.909706845,229073.056978617,238237.221596252,231854.739933648,233081.182784638
"CANr109",451114.062758019,661021.236035998,771457.465075907,976736.376059833,1231099.18407024
"CANr110",1045332.59695758,793368.034201604,902965.263202903,938016.590467051,969661.599170865
"CHLr111",19130.2769002841,23595.4058817307,22099.8618381014,18770.0991471454,27307.9246327384
"CHLr102",65671.9226796296,80322.776029915,107992.123475514,149836.85042533,175965.702989612
"CHLr109",351136.515319252,262908.313952409,200789.189108683,143375.713104779,109047.494514876
"CHLr103",45538.0415448772,51440.0691541067,53461.1134290432,67507.2162309907,72330.0454409822
"CHLr108",602393.02514003,490662.315070446,410621.679560167,337790.424584301,251407.519645055
"CHLr104",175519.23997194,165675.145879584,160999.579223122,147636.208891502,114344.722633851
"CHLr110",322900.30197407,274593.144662708,256243.149143734,218917.645608734,131473.930610753
"CHLr112",23168.7808361215,25404.1176740348,28057.0793298676,40055.4403486909,40628.6304112852
"CHLr107",300710.953710545,258358.224859502,214919.476697738,163149.857197154,107991.614535061
"CHLr106",207438.608915948,209834.055442268,188646.204840827,181899.618813643,134324.537887314
"CHLr113",979239.434462141,1226056.01416896,1413376.95474688,1593726.96701776,1985591.85560426
"CHLr101",85479.5802097743,100092.765894499,102470.332654508,118063.734151914,105772.221189305
"CHLr105",383072.935618389,400275.441531547,383043.8043675,369009.573120041,296199.527362524
"CHNr101",3938298.51293497,3664485.26322252,3428171.9630774,4984352.84369622,5418536.03706888
"CHNr102",2745131.48600528,2554274.09655084,2389555.48046332,3474267.85543323,3776908.69154734
"CHNr103",13859506.8478723,12895913.9163147,12064289.3477739,17540740.5361809,19068701.1318583
"CHNr104",6962298.71586303,6478239.51349481,6060474.38453419,8811559.93866316,9579128.2374448
"CHNr105",4739971.76880366,4410421.56601973,4126004.73788906,5998959.11579074,6521523.89149681
"CHNr106",10011057.6493824,9524679.04579342,11826310.102426,7165072.69608231,6153047.35631584
"CHNr107",6261141.71732386,5956949.54582711,7396441.62861014,4481198.40443298,3848254.88380591
"CHNr108",8799310.74757019,8371803.82234407,10394843.5053508,6297806.22486458,5408277.2898704
"CHNr109",4162357.58262601,4700411.73236338,5393893.00701344,6021708.78350838,6426249.5244888
"CHNr110",13135232.7147987,14833180.6516756,17021612.987212,19002823.4340762,20279440.5122376
"CHNr111",8993638.98906637,10156216.8510707,11654627.3326482,13011153.8523793,13885248.2348354
"CHNr112",9585150.9069424,10824191.5513278,12421152.5371895,13866897.8485923,14798481.445948
"CHNr113",5899046.31640502,6661596.45464476,7644423.63311591,8534187.25149703,9107517.27433729
"CHNr114",7428499.29033804,8388756.73822551,9626402.72474612,10746856.447805,11468834.4488853
"CHNr115",15365447.8450034,17351688.2896221,19911691.8802794,22229289.6307151,23722661.96438
"CHNr116",17876484.8178428,20092866.524305,20399934.3598779,19571672.4297469,19368305.7982274
"CHNr117",10495026.5690234,11796232.3224723,11976507.4227321,11490246.7819288,11370853.1638434
"CHNr118",12536188.8937448,14090464.2457491,14305800.7858553,13724968.0262036,13582353.7184472
"CHNr119",20516813.736283,23060551.5630063,23412972.8388359,22462377.9137984,22228974.3480763
"CHNr120",8770447.41871209,9857834.53169309,10008486.2024948,9602129.59597203,9502355.15112799
"CHNr121",1670791.09487241,1877940.92638174,1906640.42801334,1829228.52790066,1810221.25883186
"CHNr122",8160590.09088199,6877562.29388978,5385922.27479817,5296006.47259102,4796948.17783905
"CHNr123",21454752.0280233,18081583.7984016,14159959.7040308,13923564.8822996,12611506.3372447
"CHNr124",9409659.2475884,7930249.76366273,6210297.6347841,6106619.21811075,5531174.49585402
"CHNr125",12834034.6159243,10816236.5184327,8470357.18540385,8328947.98518748,7544086.67505167
"CHNr126",856041.843475331,721452.865431392,564980.569001324,555548.446051665,503197.479040288
"CHNr127",14968757.4835386,8100921.11851689,6526951.87126978,4710943.21463438,4302861.44204037
"CHNr128",10052988.2000297,5440562.75234473,4383488.08952213,3163860.23354383,2889793.31455965
"CHNr129",2363206.61106427,1278940.51086354,1030448.64139496,743744.573416692,679318.281260543
"CHNr130",2649038.89315884,1433629.68749829,1155082.46958933,833701.248266806,761482.529486736
"CHNr131",9249287.83380225,5005609.26492993,4033043.93174503,2910920.95043753,2658764.69908526
"CHNr132",1287567.36828199,1447203.94057105,1469320.73416674,1409664.54087741,1395016.90510281
"CZEr106",295648.379759326,332010.77027999,331004.493372305,366852.929645959,360078.87594242
"CZEr103",259673.370511573,202915.165826544,257348.144522537,256958.283248132,226446.359891213
"CZEr108",312023.13913494,268307.456463533,239401.748120521,207082.153386835,156475.967894172
"CZEr101",214240.85813832,199214.515534963,249455.596365999,214327.810944404,382770.219016315
"CZEr105",263933.720507232,351555.275235863,261830.662175261,323035.188201201,285136.670880442
"CZEr104",308658.936432585,222191.146398365,243468.506229892,206867.984777855,127573.858161302
"CZEr102",383281.530430022,421515.302443144,571375.653204306,550129.416023838,748458.795898689
"CZEr107",238405.823912925,296044.657389196,222931.658611935,241366.736733493,188152.712352451
"DNKr101",361005.414403219,330597.955448635,317585.754544646,300914.483612017,431378.918991483
"DNKr104",250208.531568766,252396.482562977,261257.189077995,280226.031181653,235150.280608607
"DNKr105",122605.83630771,117458.524479324,122116.548111096,122175.262694689,87416.2292071814
"DNKr102",145369.3643906,166044.20407396,163471.89177412,165610.668293088,167836.151968231
"DNKr103",241456.180877443,253971.820675396,256151.4553447,251851.361607973,197962.113494487
"ESTr103",29488.6205548402,22852.8435245576,23101.7831053504,27240.1036881733,16764.9451270785
"ESTr104",40082.5607233713,34229.765287705,29078.201552296,24270.6534626971,10319.4509739306
"ESTr102",28546.4817104666,31324.6491205315,30691.2972240858,28973.7297930115,24152.1994519046
"ESTr105",70541.1201709501,66854.9525067588,67116.2081038129,54393.2576269366,47428.7214915415
"ESTr101",89982.1198861852,104143.001270832,109814.553871971,125567.636838237,163379.516532774
"FINr105",3499.69064940633,7316.80875847898,3649.443862301,5293.69431742477,10127.2686623889
"FINr103",243385.243149426,260581.058580917,221177.835960395,223461.029651323,197796.512657937
"FINr102",253365.646126787,253902.083641773,291237.692433867,304284.797532494,455130.116265079
"FINr101",313914.05790402,273870.826429251,280019.227380996,284082.109690411,218817.716595322
"FINr104",261782.339010715,278974.839448972,280362.228109954,260156.838611153,195964.850819205
"FRAr110",328512.166326273,339627.037471905,372118.76381023,379581.693801848,463251.458589744
"FRAr115",753816.662949607,689981.108924288,695319.693299912,649683.794502443,545088.06132375
"FRAr119",319809.334885016,306286.480817002,289125.01812815,252581.831316467,176317.506853365
"FRAr106",274411.369782752,315444.275956577,368643.031857722,284158.261510625,213591.356892324
"FRAr107",347881.570999008,330686.715566188,376359.279931149,294994.594180225,284734.07132343
"FRAr113",671821.449216745,622286.743783284,751899.784452479,703250.817864624,508736.720682868
"FRAr105",459384.659852589,515730.769847724,573453.245253034,540352.051772409,468164.646274244
"FRAr102",339984.565184952,288254.520170082,291815.678862261,244840.991032991,154211.191749715
"FRAr122",84229.8703064863,43417.3745903679,71598.9201743326,53807.071562818,54096.1509659953
"FRAr111",264467.073075614,210951.2338731,243581.644246754,237640.328747741,220865.51205679
"FRAr104",383565.693764089,376370.117195881,377442.446431549,418426.298780084,268811.575828396
"FRAr101",1669346.65549805,2040983.94961576,2077718.45794299,2516498.18155391,3699262.34538929
"FRAr120",721060.727409029,655729.419518356,551718.8555216,492105.775837008,335108.312714007
"FRAr117",167617.959140743,146530.180656153,173076.130484237,148486.075013865,97369.5649050013
"FRAr109",520288.823416822,483067.212466548,414187.573237706,495405.268729088,408075.089149836
"FRAr116",597077.178504118,591914.012754322,587671.806392665,579537.892093697,652824.868255198
"FRAr108",989932.384677274,965572.087981658,797949.326010255,666863.030949746,589649.894381067
"FRAr112",719254.863879332,716164.904585861,759896.139394743,874435.666471128,609748.166668935
"FRAr103",334618.198987097,419096.926515374,427328.252398085,392646.600102143,331158.568997301
"FRAr114",427188.082087962,379269.991483633,434789.971214189,329984.678308776,214680.47290544
"FRAr121",1155050.62582859,989276.646181057,917329.45873934,886485.466795562,968565.950455452
"FRAr118",1196914.35695548,1292471.71988798,1190169.85048009,1284081.68555893,1472703.15311752
"DEUr101",1529211.70026209,1758809.47924736,2077379.87539822,2627689.97315677,2832498.86193556
"DEUr102",2311007.05069929,2222367.93575935,2577894.3921907,2818614.52566575,2964864.13568491
"DEUr103",1036940.45579881,878920.980167917,581383.945571374,476625.768876908,434907.000584994
"DEUr104",653452.176242667,599696.488595482,567534.72313239,380381.564850927,300400.851178533
