"GDLcode","X1","X2","X3","X4","X5","X6"
"CHNr127",729617.639775155,3454019.84702309,18522660.309562,13810993.7138172,2093143.99761655,0
"CHNr128",490009.777448755,2319712.96234688,12439782.3753883,9275436.3205079,1405751.40803388,0
"CHNr129",115189.06841546,545306.619217304,2924282.34916575,2180423.57127856,330457.069567511,0
"CHNr130",129121.305293687,611262.018411945,3277977.32168215,2444148.05579609,370426.193674789,0
"CHNr131",450835.252446386,2134260.22727104,11445266.3715936,8533898.43949364,1293366.62263662,0
"CHNr132",154553.763157794,620903.970823123,3439807.43894333,2265862.29420445,522570.606900306,5075.42140965821
"CZEr106",185272.712553752,421329.354453175,848360.643030763,208607.523059592,22025.0955004921,0
"CZEr103",148858.258287321,309840.112132654,624342.318537567,114877.681889998,5422.77938687533,0
"CZEr108",138060.265971022,330275.420482714,548024.541731996,158519.50480115,8410.64085852804,0
"CZEr101",225682.088529677,386828.61232466,578337.916118645,61561.6858638644,7598.65332140231,0
"CZEr105",160881.066909745,408121.863564455,749216.308519125,125197.653516592,42074.5413612889,0
"CZEr104",124870.083702517,321784.07287521,549009.942940946,113096.27591705,0,0
"CZEr102",250243.833447667,695033.829831677,1450756.28181774,269113.549152046,9613.19744759651,0
"CZEr107",108684.21642525,308029.722372466,618271.032128711,151916.584559013,0,0
"DNKr101",448578.504848034,492702.584605169,619684.054930635,164951.659579888,14910.2211862247,655.501850050562
"DNKr104",274830.405426699,394900.403878248,453727.574953372,144978.979001029,10464.5438953898,336.607845263247
"DNKr105",125874.281461096,189569.818896397,194521.415446138,58244.8669250133,3454.37466809974,107.643403255233
"DNKr102",162354.332872317,264476.094588823,295902.621637808,78286.927897012,7312.30350404038,0
"DNKr103",252452.980227102,392018.637264791,415679.015417107,132425.134410646,8817.16468035431,0
"ESTr103",24785.6152289981,30912.2388486625,45522.3389195995,15955.7037343869,2272.39927814726,0
"ESTr104",25604.8377834831,38256.5585163985,60790.3099989706,10947.6255314853,1795.86756536935,585.442313043296
"ESTr102",26352.3506457686,38305.6815077813,56173.9761289868,18788.7390677967,4067.60995938898,0
"ESTr105",62378.3452326191,74713.0079438504,121725.380660382,43120.0969837404,4350.31755039668,47.1115290114667
