,GDLCODE,Nr_households,Nr_individuals,ECONSIT_1,ECONSIT_2,ECONSIT_3,ECONSIT_4,ECONSIT_5,ECONSIT_AVG,EDU_1,EDU_2,EDU_3,EDU_4,EDU_5,EDUF_1,EDUF_2,EDUF_3,EDUF_4,EDUF_5,EDUM_1,EDUM_2,EDUM_3,EDUM_4,EDUM_5,AGE_1,AGE_2,AGE_3,AGE_4,AGE_5,AGE_6,AGE_7,GENDER_0,GENDER_1,HHTYPE_1,HHTYPE_2,HHTYPE_3,HHTYPE_4,HHTYPE_5,HHTYPE_6,HHTYPE_7,HHTYPE_8,HHSIZE_1,HHSIZE_2,HHSIZE_3,HHSIZE_4,HHSIZE_5,HHSIZE_6,RURALHH_0,RURALHH_1,RURALINDI_0,RURALINDI_1
23945,INDr127,2544193,13072021,306478,437891,522361,762343,515120,3.2915407754050103,5012944,5361769,1147323,918908,631077,3054488,2695668,504824,403061,248004,1958456,2666101,642499,515847,383073,4124274,2621240,1756427,1499802,1267448,959100,843730,6906045,6165976,148494,73693,940539,241047,97297,533116,343441,166566,148494,149168,947510,871116,374445,53460,1847610,696583,9355281,3716740
23946,INDr128,7577576,39032931,2292456,2166323,1337650,965636,815511,2.4517274389593715,19374062,12545922,3397697,2127511,1587739,11180206,5831479,1433367,892184,599908,8193856,6714443,1964330,1235327,987831,12825282,7880255,5608590,4321430,3355924,3607706,1433744,19937144,19095787,63722,806618,3345718,262633,201379,2144333,641799,111374,63722,939391,2630329,2312558,1427827,203749,6218754,1358822,32037650,6995281
23947,INDr129,6512774,31614768,2154143,1607432,995930,797651,957618,2.5082232240823954,15094709,11588169,1796829,1730084,1404977,8883924,5519811,783637,756335,552682,6210785,6068358,1013192,973749,852295,10353402,5884912,4513713,4007888,3192923,2222037,1439893,16496389,15118379,304150,586046,2452748,231011,343551,1925564,479625,190079,304150,785251,2158335,2153012,1025035,86991,4109664,2403110,19791600,11823168
23948,INDr130,10319584,40489295,2126573,2241523,2522539,2198083,1230866,2.822196902510799,18270598,11962061,5111223,2805940,2339473,11611546,5109526,1937450,1131424,816346,6659052,6852535,3173773,1674516,1523127,9302734,7746514,6288983,6850248,4495167,3365762,2439887,20606292,19883003,482089,1217329,4387956,578871,303427,2559297,617152,173463,482089,1519099,4705290,2917119,602358,93629,7163062,3156522,28362265,12127030
23949,INDr131,171592,790977,1045,1049,20243,24228,125027,4.580161079770619,148476,173376,110684,127724,230717,93736,92482,55419,60945,76824,54740,80894,55265,66779,153893,181405,173743,115881,94129,99999,43119,82701,379406,411571,16160,22204,72491,6081,2046,38483,14127,0,16160,27522,53727,58301,15882,0,171530,62,790670,307
23950,INDr132,111910,514052,21288,5778,14652,44456,25736,3.4251094629613084,154638,160267,89230,59747,50170,86067,77144,39204,22799,17328,68571,83123,50026,36948,32842,138605,104362,124969,55441,27900,51061,11714,242542,271510,0,9572,52686,4488,437,39672,5055,0,0,9813,68416,19583,12888,1210,103088,8822,471306,42746
23951,INDr133,328851,1430948,24578,24910,28969,87663,162731,4.031041413892614,267676,535174,166281,145808,316009,168714,294351,80518,68431,116274,98962,240823,85763,77377,199735,356996,261761,190484,239630,206318,86033,89726,728288,702660,6716,24744,159365,28277,5689,71814,18756,13490,6716,58733,176381,72315,14706,0,322502,6349,1400961,29987
23952,INDr134,41721,185013,7964,6809,10956,8202,7790,3.0250473382708947,69119,67506,26381,14759,7248,43831,26082,8338,5443,2011,25288,41424,18043,9316,5237,43463,23459,30130,27840,26966,25479,7676,85705,99308,702,2983,19726,3451,1187,10474,2324,874,702,3158,15196,16345,6320,0,41125,596,182262,2751
23953,INDr135,19500,79500,1820,1354,2612,5888,7826,3.8485128205128207,17105,33250,12757,9178,7210,10388,19508,5451,3661,2375,6717,13742,7306,5517,4835,19029,10645,10628,12154,11007,8475,7562,41383,38117,570,2173,5593,1080,986,6724,1626,748,570,2802,8248,5888,1733,259,17845,1655,72451,7049
23954,INDr136,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
24329,IRLr101,157840,412028,38277,38267,31529,29924,19843,2.7135643689812468,107749,51126,56593,95748,100812,54138,23139,24256,51731,53748,53611,27987,32337,44017,47064,91671,51450,41610,54642,61299,54418,56938,207012,205016,38897,35953,59202,18415,552,1207,1493,2121,38897,47441,54800,15054,1648,0,32838,125002,89674,322354
