"GDLCODE,""X1est"",""X2est"",""X3est"",""X4est"",""X5est"""
ALBr204,93643.206765438,50892.0283804429,49542.27020648,72951.7574503672,31981.7371972718
ALBr205,97617.1517279959,50856.1310896624,48522.18457328,74593.2676302695,28990.2649787922
ALBr206,20794.7108608045,12072.1445451994,12420.6089954084,18521.1707877583,8496.36481082946
ALBr207,70864.2756006165,39467.7826895566,39258.3845987541,57676.5078159778,26993.049295095
ALBr208,27782.3171720634,12902.7003565302,11618.1357208706,20124.5718054084,7334.27494512743
ALBr209,40621.333602772,20988.4413774381,20107.4848410953,30783.3679107386,11598.372267956
ALBr210,70721.2336615787,38143.1265240441,38932.7882431045,56728.9502325591,26091.9013387136
ALBr211,189071.40358075,113128.576576069,135056.256951864,261319.293928097,128571.46896322
ALBr212,47786.5990058125,28529.9191565902,30082.08294765,43209.1048561413,22824.2940338059
ANDt,14807.0585675264,9058.55630589194,12438.0764022203,29274.1464192252,12433.1623051362
AREt,1748384.84872584,1041553.41088466,1433674.93831193,3515138.48804695,1524148.31403062
ARGr101,648350.421309803,393195.505739187,533375.533302603,1159128.32528935,607383.214359055
ARGr102,3667846.59516141,2287464.06383247,2792472.54317312,5771016.81816041,2658936.97967259
ARGr103,261730.943945243,159234.845736572,211250.998422694,492840.2431841,218934.968711392
ARGr104,669551.675657506,397191.41095076,523867.599988834,1290490.91111123,572475.402291675
ARGr105,787901.840131884,475324.849273081,564076.448884387,1170369.92060723,545186.941103421
ARGr106,379916.5025951,227571.681701841,272511.729747469,518797.868920851,257469.217034739
ARGr107,418692.019716802,245166.535878776,328323.31615938,830519.713950157,365814.414294884
ARGr108,410454.900688612,255540.60314406,317879.132839659,702050.018355397,320143.344972272
ARGr109,502754.937449965,295601.019708571,394096.769586918,995285.08819768,441587.185056866
ARGr110,634432.712028009,362441.894997313,490171.316668826,1267853.618212,555478.458093857
ARGr111,534112.534255075,335107.710663044,398052.416399435,825749.856719955,388790.481962491
ARMr101,52890.8302396296,24230.486585338,22397.4715451194,33449.0650502901,12949.1465796229
ARMr102,97700.4384317247,44660.9705616394,40583.6542561916,60669.815792833,23358.1209576113
ARMr103,100965.196271444,44187.4387863549,39333.4350315323,58567.3277108118,21805.6021998565
ARMr104,87567.6013874499,37907.5415497493,33121.0469813673,50275.8725921352,18512.9374892982
ARMr105,76902.2114763412,34757.3197710737,33178.8356331214,47547.7460519501,19179.8870675136
ARMr106,97391.5388746257,51602.4188494034,52281.0493339123,71519.7534939538,32813.2394481047
ARMr107,84776.9478110213,42695.5734169972,42659.1677559934,56016.7615693612,23718.5494466268
ARMr108,45262.0363131858,22660.5838852371,22414.4188448163,29477.1469927255,12496.8139640353
ARMr109,21058.6095895534,10543.0605421417,10428.5298249431,13714.5338764365,5814.26616692528
ARMr110,51058.4020118984,23199.5039941468,22709.6520191575,31928.684820656,12587.7571541413
ARMr111,240917.762957305,142442.668491168,156270.66025679,246471.111539224,131951.796755512
ATGt,30386.8414579251,15830.7957692831,15104.2711626012,23219.8313225269,9024.2602876637
AUSr101,1316500.03259614,560549.323463384,973272.961694604,2736064.06241236,2043120.61983351
AUSr102,1043964.5291972,441745.276975403,780566.2912115,2167795.87327618,1612899.02933971
AUSr103,821797.989451391,357330.026804641,624464.824571919,1715022.32707594,1252675.83209611
AUSr104,302992.590564709,127009.755018891,220049.019208842,604652.37689296,442450.258314598
AUSr105,427922.591107375,189366.113388542,322780.953268432,902603.828726145,673543.513509507
AUSr106,95660.9339469912,50289.4914020043,77586.3291436746,176084.545440682,116403.700066648
AUSr107,42659.9231399017,18717.2638351706,31575.8555253464,86755.7340963052,63015.2234032761
AUSr108,67364.1048737759,29810.2483648596,50812.5778799465,142089.013857469,106030.055023949
AUTr101,56823.826399213,34949.4324127171,45519.0242005245,98572.5887707815,53837.1282167639
