"GDLcode","X1","X2","X3"
"ARMr102",0,183.985711305406,259826.033888695
"ARMr103",0,1315.34165455261,289640.553145447
"ARMr104",0,575.523422558975,210004.401777441
"ARMr105",0,0,209499.6166
"ARMr106",0,0,209599.3498
"ARMr107",74.3199375865293,756.143871215838,232650.826391198
"ARMr108",0,0,115350.5853
"ARMr109",0,0,45893.45869
"ARMr110",0,0,107236.783
"ARMr111",158.961571672661,0,1067662.35542833
"BGDr201",2782.74502707099,0,4172207.80297293
"BGDr202",58032.8457945229,0,4310362.40920548
"BGDr203",43830.9614978197,7453.3311554313,8252437.63534675
"BGDr204",596950.483296071,39147.0601448789,2298410.17055905
"BGDr205",13262.9837249671,0,1334426.83627503
"BGDr206",303134.50771324,10979.7494368984,6518886.12184986
"BGDr207",15262.6636641851,0,11457166.5563358
"BGDr208",31931.4561967398,33339.4575432183,13951677.69626
"BGDr209",0,0,10437006
"BGDr210",98746.6359537324,9355.80884838544,7649402.18419788
"BGDr211",170367.734567193,24926.1945816928,11005077.5208511
"BGDr212",22644.4132208744,0,4648724.28977913
"BGDr213",0,0,5242089.292
"BGDr214",732881.403920182,7651.27097906454,5192652.16210075
"BGDr215",15578.5416968875,11226.0049108063,4720423.42039231
"BGDr216",48023.5938017447,2580.55983647035,5777968.14136179
"BGDr217",18067.5014562164,0,7361466.38454378
"BGDr218",12491.736453108,0,7891975.45854689
"BGDr219",5681.92055465668,0,7187697.33144534
"BGDr220",110131.747643426,8479.57110440604,7601664.10825217
"BGDr221",39346.3533106536,0,6675150.04468935
"BGDr222",73528.9223258742,0,5941958.23567413
"BGDr223",99079.0843674016,9424.10515789731,4925560.6344747
"BENr101",83064.7717573717,3801.63317663744,1411623.53006599
"BENr102",87417.9824068364,18373.2078991753,2080756.64369399
"BENr103",217502.806761712,48720.4987988932,2053419.33243939
"BENr104",101381.182724642,17582.1327457798,1170232.63752958
"BENr105",178790.762365805,37561.6101527526,1678069.38648144
"BENr106",28395.6172605858,12863.3586603123,1678694.9100791
"BDIr101",483221.074726613,11160.886042243,2850471.76823114
"BDIr102",171084.477854243,4566.00068880607,1187812.14545695
"BDIr103",312194.939237846,627.54235657364,1042932.11140558
"BDIr104",255152.500288464,11012.8664976278,2217775.84121391
"BDIr105",273311.780444627,2395.05059462067,1894272.80096075
"KHMr101",18749.2038868476,5705.87354123091,746639.285671921
"KHMr102",110991.02807985,1030.91814693844,1609078.09077321
"KHMr103",59432.4962142834,1958.13688456215,439655.613701154
"KHMr104",26927.8973623653,1213.1303658697,750803.079971765
"KHMr105",58323.1172544747,2180.39954814213,611607.438497383
"KHMr106",10698.4295417086,0,1402250.25645829
"KHMr107",3999.19860236926,697.166322456934,130973.923475174
"KHMr108",2747.49714204271,8410.60553792268,1701280.07432003
"KHMr109",22685.9861721963,0,925760.183027804
"KHMr110",36213.0711479984,1517.57921949014,374850.475432511
"KHMr111",15074.4976521879,2095.35155083992,464801.810896972
"KHMr112",42483.8410120333,0,838481.771087967
"KHMr113",45132.4979344414,15971.7244095184,1401004.79565604
"KHMr114",23193.6062438405,805.479863012218,870975.857293147
"KHMr115",97774.1158457438,1860.64376887304,626843.939585383
"KHMr116",21310.859843271,1442.01170280442,277565.000653925
"KHMr117",190263.491795094,8636.68680251664,1355205.58440239
