"country","GDLCODE","X1","X2","X3","X4","X5","X6"
"France","FRAr104",288388.324,513801.491,781945.766,233143.351,13155.845,0
"France","FRAr105",392733.562,746526.875,988899.317,351690.99,29121.001,0
"France","FRAr106",231439.628,438952.88,555487.156,182982.052,34145.373,0
"France","FRAr107",286014.178,494425.142,651737.651,121546.748,35682.67,0
"France","FRAr108",651782.9,1096169.449,1574335.274,622020.631,72065.979,4483.139
"France","FRAr109",408614.328,663204.633,884367.532,289424.352,31213.293,0
"France","FRAr110",283441.848,628201.385,725948.526,206210.163,9062.605,0
"France","FRAr111",197785.348,353117.5,436624.69,160146.382,14995.172,0
"France","FRAr112",546038.29,1154371.869,1384560.976,517946.904,32303.948,0
"France","FRAr113",587405.444,977990.803,1242898.986,400272.355,28977.209,0
"France","FRAr114",328343.411,581099.541,654332.456,187899.433,11453.351,0
"France","FRAr115",588544.698,1058790.091,1320223.763,314857.211,39822.551,0
"France","FRAr116",465922.419,928623.83,1216728.378,300853.553,14057.953,0
"France","FRAr117",133806.5,243856.785,252744.66,72021.303,9750.26,0
"France","FRAr118",1009342.763,1828769.027,2724074.051,804642.575,47681.387,0
"France","FRAr119",259650.19,442055.218,519912.314,82986.275,22714.374,0
"France","FRAr120",480207.161,906171.362,1037776.447,289229.072,45540.093,0
"France","FRAr121",856282.041,1463203.645,2076955.38,600599.88,36681.523,0
"France","FRAr122",40638.187,82199.015,86311.249,13469.165,0,0
"Germany","DEUr101",2117585.5055,3202983.8732,4197884.3682,1119544.7107,128859.3097,0
"Germany","DEUr102",2604602.9192,4159155.8909,4878678.6773,774376.6995,49628.0451,0
"Germany","DEUr103",1190598.0954,1009771.117,871592.0885,170806.8135,89914.6226,3988.4594
"Germany","DEUr104",517968.3288,960158.433,765588.2813,137711.1855,3484.2118,0
"Germany","DEUr105",180536.5695,195267.7769,221066.5631,45329.7583,87855.995,0
"Germany","DEUr106",465449.9409,652164.3759,635016.0344,129886.0377,15129.6241,0
"Germany","DEUr107",1197941.9606,2007276.4924,2300200.8161,447343.6332,64840.484,350.1055
"Germany","DEUr108",462413.0702,549724.5395,429136.6252,75430.4902,5404.1811,0
"Germany","DEUr109",1591117.2869,2829759.6027,2756300.5715,608051.6164,109674.9273,0
"Germany","DEUr110",3592317.3396,5779991.7329,6744528.2219,1677163.5689,207088.8449,0
"Germany","DEUr111",777213.6721,1295864.0912,1313425.9142,396703.2706,78393.8056,0
"Germany","DEUr112",251135.6019,280766.9271,304204.944,64275.6201,14003.1564,0
"Germany","DEUr113",1025209.7509,1472801.1643,1786068.3581,217555.7173,25598.7245,0
"Germany","DEUr114",628894.9322,774964.8862,609792.0871,112372.8531,48381.8163,0
"Germany","DEUr115",568584.4795,1024183.6565,1015128.99,164084.0748,25342.3286,0
"Germany","DEUr116",518188.6368,803176.3505,660350.4321,134824.3381,2339.8076,0
"Georgia","GEOr105",16983.015,48512.183,104672.123,114444.213,41511.22,0
"Georgia","GEOr111",38378.592,131792.857,491539.726,291529.055,114175.472,13414.416
"Georgia","GEOr110",18648.508,24874.299,89817.494,70182.493,25642.737,0
"Georgia","GEOr106",12033.935,69855.806,140157.953,151149.118,44122.459,0
"Georgia","GEOr109",8582.646,20265.409,46861.137,59836.735,20918.554,4485.351
"Georgia","GEOr102",5603.987,18700.764,127343.019,124467.889,71403.454,0
"Georgia","GEOr103",5056.26,16042.571,48631.54,27942.422,12398.865,0
"Georgia","GEOr108",12310.678,40720.903,123469.93,100737.48,32893.785,0
"Georgia","GEOr104",29165.053,74547.117,193972.114,161724.112,61566.759,7979.183
"Georgia","GEOr107",7015.396,17087.609,37489.716,26596.346,9686.082,1750.912
"Greece","GRCr101",386825.28,809489.26,2113058.34,450278.66,69177.2,0
"Greece","GRCr104",126885.34,248770.84,626871.48,149150.19,19547.78,0
"Greece","GRCr103",126885.34,248770.84,626871.48,149150.19,19547.78,0
"Greece","GRCr102",126885.34,248770.84,626871.48,149150.19,19547.78,0
"Greece","GRCr105",312520.45,748197.31,1444628.37,434990.16,51820.13,47542.88
"Greece","GRCr107",312520.45,748197.31,1444628.37,434990.16,51820.13,47542.88
"Greece","GRCr108",312520.45,748197.31,1444628.37,434990.16,51820.13,47542.88
"Greece","GRCr106",312520.45,748197.31,1444628.37,434990.16,51820.13,47542.88
"Greece","GRCr111",255510.92,654251.01,1194800.67,422343.63,68265.14,0
"Greece","GRCr110",255510.92,654251.01,1194800.67,422343.63,68265.14,0
"Greece","GRCr113",255510.92,654251.01,1194800.67,422343.63,68265.14,0
"Greece","GRCr112",255510.92,654251.01,1194800.67,422343.63,68265.14,0
"Greece","GRCr109",255510.92,654251.01,1194800.67,422343.63,68265.14,0
"Guatemala","GTMr101",63945.838,208936.041,1105021.512,1151034.322,695356.993,104688.868
"Guatemala","GTMr103",14429.067,65107.106,355282.206,427382.46,335422.705,53990.794
"Guatemala","GTMr105",18771.611,86165.689,553092.848,603235.958,457647.037,63722.701
"Guatemala","GTMr104",13745.88,56196.805,366825.025,421218.355,280932.303,56057.577
"Guatemala","GTMr106",31058.956,142701.906,917540.977,1212684.708,1330312.054,225879.404
"Guatemala","GTMr107",12574.845,65404.643,468663.951,734398.368,844217.25,191625.898
"Guatemala","GTMr102",3090.369,38154.283,296497.083,400844.358,631146.445,164470.723
"Guatemala","GTMr108",6465.232,29905.953,195535.69,240632.032,213921.63,37153.544
"Hungary","HUNr101",463796.09,703471.43,1311786.42,373017.97,90883.2,0
"Hungary","HUNr102",118340.03,283023.84,509080.9,240276.49,68302.84,0
"Hungary","HUNr103",103962.65,203276.9,503513.47,233189,58954.13,0
"Hungary","HUNr104",134478.12,285392.37,291198.04,67888.52,0,0
"Hungary","HUNr105",173609.6,314431.87,420302.4,180111.85,0,0
"Hungary","HUNr106",158875.51,375373.87,645892.06,291937.46,21033.29,0
"Hungary","HUNr107",184558.24,360631.81,558504.94,127801.18,40644.5,0
"India","INDr108",21958.61,304393.4,3211289,4791634,5398879,1343909
"India","INDr107",79060.28,402116.6,2276104,2635440,1441460,142206.4
"India","INDr118",152819.3,816745.5,7208140,11166150,6624835,1054756
"India","INDr131",31595.97,110585.9,371252.6,627969.8,260666.7,0
"India","INDr127",237211.6,478294.3,5463506,7540527,4423797,1056055
"India","INDr106",36628.57,594574.1,5188350,9635405,6131530,1578479
"India","INDr124",97788.64,377388.3,4725682,8391386,5746929,1025486
"India","INDr119",474047.4,2564962,14392400,23898550,21395130,6434044
"India","INDr123",818500.2,5865244,34653410,61448650,67504030,20667550
"India","INDr103",328217.5,2896615,16075950,32564760,30411240,7235036
"India","INDr120",1735.905,27339.43,234412.2,155504.2,201647.5,10415.43
"India","INDr125",10070.96,138080.2,435822.4,526278.3,285055.5,60393.62
"India","INDr116",52823.89,209990.3,609256.4,618511.2,484421.9,76596.1
"India","INDr113",0,15112.72,517683.4,940361.3,1173189,0
"India","INDr115",7396.206,56267.35,390127.3,370020.7,291088.3,0
"India","INDr126",8462.229,174329.8,1570533,1758698,234466.5,0
"India","INDr114",47697.22,129589.6,637771.3,1017462,900749.5,264861.7
"India","INDr102",43090.48,945380,10699320,11344950,6989920,540079
"India","INDr122",760282.9,4912915,36239400,30538860,16078690,2118860
"India","INDr128",81272.45,2319483,11840570,16183180,14674440,3303674
"India","INDr117",299366.9,1547419,12067280,16606310,10292040,2264586
"India","INDr129",348688.9,1753942,9073406,13412850,9256803,1246410
"India","INDr111",496694.5,3057633,15070240,25156040,17138870,3448265
"India","INDr105",545766.1,2248601,14965070,22163920,16831540,2502995
"India","INDr134",227.2638,3525.776,19252.86,23356.46,14544.34,0
"India","INDr132",0,40504.07,541275.2,218624.4,196183.9,29661.85
