"GDLcode","X1","X2","X3"
"GTMr104",21884.8029506465,389296.447424245,778674.919625108
"GTMr105",26344.6693619297,332697.366931423,1407445.80270665
"GTMr106",21974.2312643626,1060141.00764541,2794033.62409023
"GTMr107",7619.57710394848,1190528.03330415,1132328.4665919
"GTMr108",18463.1226297558,413266.876220287,295916.115549957
"HTIr101",216995.879044376,282414.666902421,2699794.3920532
"HTIr102",74766.011587198,83831.7313352761,474690.703177526
"HTIr103",128974.968033015,196133.758181311,775532.526785673
"HTIr104",82248.9873046071,96373.2320790141,239082.796816379
"HTIr105",216085.761240278,452100.036058172,1204475.67270155
"HTIr106",252889.436989587,141989.569436717,392896.078473696
"HTIr107",110320.643154797,148256.155935866,508825.996109337
"HTIr108",198432.19206571,188541.740168806,433201.769665484
"HTIr109",97610.9063470939,176972.185377693,487314.098075213
"INDr101",3800530.2692631,1013206.49448481,47454702.2162521
"INDr102",5077556.53896018,13592457.0813145,14957618.1497253
"INDr103",18362671.5473573,17736027.2499097,80193557.002733
"INDr104",45027.9622686479,30455.9926358207,1433351.33609553
"INDr105",5155290.00260784,3369231.39389831,58073491.6734938
"INDr106",181479.585933887,961081.111039715,26604835.0030264
"INDr107",896875.725302676,916032.050211877,5582915.28848545
"INDr108",1740047.58874482,972149.778364781,11146241.5028904
"INDr109",6666210.49540897,10075497.7951969,49614949.4393942
"INDr110",355135.459412703,2474816.93478263,34323196.5858047
"INDr111",25744086.4422358,9826847.32719485,44008318.5105693
"INDr112",14270896.0446112,8000698.9709448,98851055.384444
"INDr113",535755.355396328,1945471.39331327,724570.362290404
"INDr114",788490.571424591,777016.090267002,1914099.15530841
"INDr115",230710.350275399,46438.8496015059,978910.065123095
"INDr116",1082940.73626334,329507.649717059,739111.7560196
"INDr117",17031453.4473371,3470664.81545539,24713981.5772075
"INDr118",161165.795604418,264714.125152836,29598831.7192427
"INDr119",6493257.24666543,6320396.05682473,62917549.4365098
"INDr120",28859.0186767486,128972.069563488,484637.825959763
"INDr121",5977915.09612309,2698068.10634679,69681340.4075301
"INDr122",29652704.4993342,3581653.0834003,64350266.8472656
"INDr123",29865637.0781605,5344653.79162858,184326697.030211
"INDr124",290132.09356273,110470.60341374,17840948.9830235
"INDr125",751461.563088553,376547.507104629,415183.149806818
"INDr126",2506150.83059912,108850.43588295,1439794.75051793
"INDr127",273240.876008078,2001975.64299536,8919162.81099656
"INDr128",18055928.6190875,345645.86367164,18331144.2472409
"INDr129",14832888.6424304,359902.582216426,12739072.5553531
"INDr130",4686754.5689113,1636547.74006896,31644377.7710197
"INDr131",4457.55096211732,28618.4793544743,820895.789483408
"INDr132",47211.4613762549,142014.896152097,304009.438871648
"INDr133",70722.6287344064,28772.2584034842,1099740.61386211
"INDr134",914.340902375152,2224.28102186407,157731.193275761
"INDr135",335.791200511407,99.7123375314437,48666.3486019572
"INDr136",56717.2545490783,57755.0201158485,257386.456735073
"IDNr101",15312.9070128588,190920.48457477,4416793.62541237
"IDNr102",96071.279329844,861732.874039816,12776610.6666303
"IDNr103",9926.99426058374,496403.204489438,4660335.15124998
"IDNr104",25503.3858107552,282972.40991478,6370461.23527447
"IDNr105",3193.5105142515,109637.717345527,3387111.21114022
"IDNr106",59377.5364445781,549642.113662188,7281575.87689323
"IDNr107",30521.8518043251,115986.892651908,1678136.09054377
"IDNr108",50155.0662667867,656798.243545475,7402910.39918774
"IDNr109",0,19442.1237264993,1366481.1172735
"IDNr110",12680.5830354363,230742.484270953,9755577.01469361
"IDNr111",568393.409864956,1442535.22213879,45937394.3379963
"IDNr112",188677.041568781,2731576.68385111,30335556.8845801
"IDNr113",3713.52825570073,145241.715440822,3527438.78830348
"IDNr114",272375.165082969,2005288.17211101,36474700.932806
"IDNr115",52076.1037443282,200853.381280149,11968656.3249755
"IDNr116",12401.4635572996,137018.576106208,4104695.41133649
"IDNr117",3246.62996281655,447272.581446878,4347115.31159031
"IDNr118",892889.831928049,316303.067146907,3819650.88692504
"IDNr120",45088.9203036694,81581.8174551259,4621293.71924121
"IDNr121",0,22990.4868298102,2432373.03317019
"IDNr122",0,84841.7138993865,3891560.01410061
"IDNr123",17875.8281998417,201007.923435326,3924551.15136483
"IDNr124",22307.209626417,40619.3446965553,2318030.97467703
"IDNr125",12231.4322444355,88322.6825042628,2626482.4322513
"IDNr126",114939.469680551,676430.017291588,9027038.27402786
"IDNr127",6801.88352255401,58570.2707009132,2340636.32277653
"IDNr128",3569.76627585751,47484.3800338944,1089790.23169025
"IDNr129",33551.21141408,138110.280492871,2372333.54309305
"IDNr130",465980.607965952,1206380.51805602,5240058.09397803
"JORr101",543.672640142182,21524.0498158113,3326110.61954405
"JORr102",1473.01856197174,4819.39014647264,1045600.68929156
"JORr103",1831.36781884124,3931.32787678032,1096022.90930438
"JORr104",499.781516986972,11858.5826158044,232910.899367209
"JORr105",0,19010.1098750688,1860557.17712493
"JORr106",2845.54323859846,9261.29865444917,490886.899906952
"JORr107",97.9019623872423,192.84254105425,172847.554996559
"JORr108",0,1392.84663924227,292407.340960758
