"GDLcode","X1","X2","X3","X4","X5","X6","X7","X8"
"CHLr101",21331.856054433,36635.436614615,205067.979506439,53689.3286206724,14118.4199418927,108181.875267365,56850.4469859613,16003.2911086219
"CHLr105",89405.8180314608,169981.853465745,662373.323887362,228852.093409721,52831.0302768291,330418.701898682,217891.711394045,79846.7496361552
"CHNr101",423957.224748045,3447098.9028863,12947957.1394595,622181.531328538,200299.963624979,2927933.73145709,335255.216489649,529160.630199193
"CHNr102",295512.979159102,2402748.21794436,9025177.93058009,433682.237659558,139616.063888177,2040871.97777445,233684.584246356,368843.42371286
"CHNr103",1491973.76488903,12130896.2977115,45565946.8298051,2189557.02970348,704887.836300693,10303870.432362,1179817.10971433,1862201.49482895
"CHNr104",749490.378078131,6093934.26785534,22889972.6795791,1099920.09553744,354099.156006926,5176131.06058433,592679.035270176,935473.622433849
"CHNr105",510257.226537278,4148784.41293638,15583620.9731548,748831.731236772,241072.678913631,3523938.87422514,403499.190395509,636875.655836794
"CHNr106",1004002.66884217,10533742.4500204,22371834.5691298,1003447.28227492,1209576.18404658,7080804.37476696,1192483.90224985,284275.418669312
"CHNr107",627925.960907837,6588040.60502407,13991850.9731574,627578.609596194,756496.283555281,4428495.09170469,745806.384210991,177792.271843519
"CHNr108",882477.334957417,9258729.3369866,19663928.7537366,881989.172850933,1063168.05766698,6223737.81257493,1048144.64014388,249866.481082666
"CHNr109",593393.556393547,3567032.27973743,13338449.3801209,256073.158615089,410293.664718696,7554003.07399264,788075.679613705,197299.844145538
"CHNr110",1872583.57792842,11256553.0869143,42092403.9284286,808095.043170389,1294771.69140466,23838314.3051825,2486945.73762892,622622.952497548
"CHNr111",1282150.1561802,7707314.89293751,28820493.1982468,553299.3015754,886524.770332915,16321994.2595431,1702801.36144315,426307.335595262
"CHNr112",1366477.21209262,8214225.23474002,30716017.9381828,589689.813962234,944831.532232267,17395492.3329882,1814794.66029511,454345.582403827
"CHNr113",840979.181517944,5055329.39267739,18903741.2380884,362916.30237725,581483.278035944,10705811.0993998,1116889.84970403,279620.598598291
"CHNr114",1059020.88541361,6366030.84493406,23804937.4152824,457010.057229801,732245.160750976,13481519.87436,1406467.25095869,352118.174165678
"CHNr115",2190527.25800982,13167789.4961562,49239221.8148071,945300.514215568,1514609.39653173,27885792.5947825,2909201.21893526,728337.343648631
"CHNr116",2145812.38131042,7244209.65881165,46474234.0349748,1413916.06408165,2191704.68385912,33450876.9596015,3035795.75111534,1352714.50351813
"CHNr117",1259775.51982224,4252971.0743199,27284352.9330355,830089.741362061,1286718.22916751,19638527.7097511,1782271.92821953,794159.187300405
"CHNr118",1504787.41300383,5080125.18088065,32590846.7179766,991532.677696016,1536970.17037373,23457996.1608798,2128903.38154313,948614.042872993
"CHNr119",2462745.52234194,8314168.12370592,53338405.8973552,1622749.26089201,2515416.04638036,38391519.2997259,3484178.04740144,1552508.32531399
"CHNr120",1052764.83897551,3554108.12305329,22800893.4688231,693686.51728013,1075280.22891533,16411456.7530171,1489402.82613792,663660.196427064
"CHNr121",200554.205957872,677066.051333004,4343624.44059191,132148.931562136,204843.441297082,3126421.54815531,283734.781110456,126428.846018262
"CHNr122",503657.342824175,3412181.56025368,12248315.1481747,624708.309416024,893682.698398964,10963111.8668526,1434771.05847494,436601.289113635
