"GDLcode","X1","X2"
"ZAFr107",6791447.52126066,6808206.91873934
"ZAFr108",2264527.84484656,2189137.43915344
"ZAFr109",3163973.82898274,2627670.11701726
"TJKr101",363035.832737159,355611.167262841
"TJKr102",1520028.99751661,1556934.19948339
"TJKr103",1295819.72508312,1172128.32991688
"TJKr104",1384938.8959961,1384728.4250039
"TJKr105",120105.139298782,116459.886901218
"TZAr201",1197404.99531193,1193515.55168807
"TZAr202",1827730.59419219,1802773.81480781
"TZAr203",978208.186076522,880171.792923478
"TZAr204",1207953.00040585,1149660.99859415
"TZAr205",1318643.36546926,1245233.54453074
"TZAr206",660989.467069305,603051.278930695
"TZAr207",2810561.07810749,2660821.84789251
"TZAr208",489188.777507789,465198.049192211
"TZAr209",755420.14774678,670901.037253221
"TZAr210",792483.641744947,785417.077255053
"TZAr211",930276.540722596,897786.970277405
"TZAr212",1619796.07784643,1543673.35115357
"TZAr213",812062.599165339,774287.450834661
"TZAr214",1414442.56023064,1286859.48776936
"TZAr215",952329.866408078,891549.438591922
"TZAr216",1241401.83186236,1202045.11713764
"TZAr217",1819568.50115931,1808311.36784069
"TZAr218",1428918.21632953,1342871.40067047
"TZAr219",2670092.72361307,2607196.81238693
"TZAr220",1066537.34620321,903984.246796792
"TZAr221",106834.974407153,107058.228492847
"TZAr222",66758.1692226065,58830.9578773935
"TZAr223",377327.940678884,335224.752221116
"TZAr224",120707.358924605,110237.386575395
"TZAr225",112737.153796186,102591.540603814
"TLSr101",26891.0617536142,27891.5275963859
"TLSr102",30494.4208889529,30717.7491510471
"TLSr103",59639.0402200883,58507.7766799117
"TLSr104",49093.6142862781,48788.5323037219
"TLSr105",32986.5778635055,31668.0200764945
"TLSr106",139225.946901241,148965.756498759
"TLSr107",64663.0996832691,64825.6722167309
"TLSr108",33642.6250830715,35219.1496669285
"TLSr109",32333.3089828691,29472.7568771309
"TLSr110",25372.462969283,25314.229500717
"TLSr111",23379.6359288056,24310.4348811944
"TLSr112",32910.5094219448,32669.6501680552
"TLSr113",37538.0272304005,38276.1484995995
"TGOr101",921616.669798875,825018.909201125
"TGOr102",696099.422166772,650041.904833228
"TGOr103",845695.699816361,799420.603183639
