"country","GDLCODE","X1","X2","X3","X4","X5","X6"
"Malawi","MWIr112",35852.0277500863,126399.70846492,715456.045803261,864239.453831312,808972.17413041,140760.576643416
"Malawi","MWIr106",5214.84040001255,16547.0897308091,92904.3874340698,108147.767064876,105309.690462561,20398.0487954337
"Malawi","MWIr109",26505.4291869869,90657.9946463721,515366.631070471,650952.481470798,562911.935563663,103484.496322557
"Malawi","MWIr104",11572.9342723356,44667.1137339537,235510.215295952,262988.412788325,219594.923536682,38349.1340185539
"Malawi","MWIr103",6658.9500492468,28781.907592377,151501.142159595,168268.859753482,130411.124157237,15564.2928861913
"Malawi","MWIr108",13688.956050033,42159.9789262553,213587.828537437,219996.065105914,157688.750864995,24910.8914492907
"Malawi","MWIr113",31429.4419493064,98640.7118740836,528052.733197425,591553.443606809,503141.841748134,79215.4313840369
"Malawi","MWIr101",19465.3946469699,54815.9954355166,294377.740580709,327662.462287712,267390.941510644,46552.4791093428
"Malawi","MWIr107",11542.8486546432,36523.9398785495,185086.720043522,198575.10530894,142164.572135727,23145.8685446711
"Malawi","MWIr110",9978.39653463941,32953.779912387,166393.522917324,177124.059894273,122849.605577219,17920.9996054278
"Mali","MLIr101",15012.3765229723,58088.6198325684,252300.698699279,343566.248951646,651256.713277116,661546.094938929
"Mali","MLIr102",13947.5941993626,55706.0376035011,291666.017475106,450055.023711859,834135.712956892,717473.522926547
"Mali","MLIr103",19598.3201939645,64751.4161545617,350397.723661538,486805.827475259,926413.333536651,838068.027874777
"Mali","MLIr104",18438.6562771619,71266.6188871438,349575.416520533,523662.055231096,849211.343875326,552031.651595785
"Mali","MLIr105",21316.7312706812,88471.8144527974,383110.788514616,506288.181277543,675472.604339804,347994.056633983
"Mali","MLIr106",4216.95969746413,26819.8636758718,123377.698348557,177017.4257003,236603.066225468,106351.723570045
"Mali","MLIr107",3131.09257536711,20768.5265100108,95978.0027142835,144789.311212431,234631.637566904,110368.37768188
