"GDLcode","X1","X2"
"NGAr103",867729.515667782,5349326.69333222
"NGAr104",2112463.8569824,2006254.1020176
"NGAr105",423427.854256818,5098167.83874318
"NGAr106",1614177.03106879,3872884.10193121
"NGAr107",1362607.7655921,2302909.2334079
"NGAr108",1550576.33824564,2547288.15275436
"NGAr109",1205637.64439254,3953785.46460746
"NGAr110",2883176.69937161,4805923.77362839
"NGAr111",4867272.45415723,7410586.13584277
"NGAr112",1114613.61875236,6429510.49524764
"NGAr113",1705098.6173976,1316084.7356024
"NGAr114",10145078.0730525,678327.366947538
"NGAr115",779784.299954149,4473355.58504585
"NGAr116",3372444.35769503,1571729.24630497
"NGAr117",2262602.83913432,2209514.69486568
"NGAr118",4693255.2595219,2543619.5354781
"NGAr119",637201.532360521,3463527.90263948
"NGAr120",4788508.18172899,2273450.67327101
"NGAr121",1010235.26404991,3830277.64295009
"NGAr122",1172753.21469019,2638600.27830981
"NGAr123",3462999.81661059,2045883.40738941
"NGAr124",782573.263005071,3482134.44099493
"NGAr125",805309.463754924,4805223.91324508
"NGAr126",617264.351923085,3664487.24007692
"NGAr127",1929490.30379639,2516596.94320361
"NGAr128",2127897.2695308,2279933.0564692
"NGAr129",412164.688647691,2531446.01135231
"NGAr130",492259.486427447,2666222.56357255
"NGAr131",1090161.44615819,1107171.08684181
"NGAr132",442161.518037562,2443294.58096244
"NGAr133",1324199.02972012,1839802.41727988
"NGAr134",575770.467264507,2562444.56973549
"NGAr135",547638.062046184,1877138.52195382
"NGAr136",424979.537442428,3876655.30455757
"NGAr137",1241114.16851555,984922.470484452
"PAKr101",76841252.5006539,38431159.3993461
"PAKr102",39013480.5828451,7926630.92715492
"PAKr103",19750164.3820029,9518371.18799707
"PAKr104",4671957.17623542,3321311.09376458
"PAKr105",1695963.60969924,623011.92830076
"PAKr106",240474.330247049,788959.259752951
"PAKr107",1615764.05261771,2034272.30638229
"PAKr108",2687375.32711918,1655998.32788082
"PNGr101",72128.5942795733,129922.688020427
"PNGr102",46353.2261858093,83494.4283141907
"PNGr103",90731.2714205379,163431.032979462
"PNGr104",132083.140259316,237916.693040684
"PNGr105",94693.5036398627,170568.061860137
"PNGr106",74300.7518703188,133835.318729681
"PNGr107",132113.404377957,510651.736422043
"PNGr108",119334.427060338,461257.755639662
"PNGr109",89392.0742707686,345522.985829231
"PNGr110",106884.290501981,413134.827598019
"PNGr111",145748.861774885,563356.229425115
"PNGr112",196820.822884859,536157.023115141
"PNGr113",148024.724992055,403232.212607945
"PNGr114",133182.715273557,362801.288526443
"PNGr115",67503.4700018191,183885.317598181
"PNGr116",14517.3577446492,27014.2996153508
"PNGr117",54250.00843339,100949.91166661
"PNGr118",104142.205439572,193790.687660428
"PNGr119",91375.7683385893,170034.549461411
"PNGr120",88809.979486882,165260.058813118
"PNGr121",169763.236257545,315900.111342455
"PNGr122",162871.826943505,303076.386856495
"PHLr101",11817726.6480011,354229.641998884
"PHLr102",1224080.70496347,628725.719036532
"PHLr103",4309641.42522828,871930.979771724
"PHLr104",2485890.00585293,1169087.74114707
"PHLr105",10591218.1365279,824834.27347212
"PHLr106",13349065.508067,848761.461932964
"PHLr107",2251673.59929497,611072.894705025
"PHLr108",4984322.45904075,782675.805959249
"PHLr109",5982857.94159867,1441873.69240133
"PHLr110",5970326.91505771,1192447.25794229
"PHLr111",3165454.94372122,950723.075278782
"PHLr112",2678772.70256307,813119.034436935
"PHLr113",4191218.38881795,686410.747182047
"PHLr114",3853899.68234984,1198482.24165016
"PHLr115",2922158.08235432,1465697.95864568
"PHLr116",1880216.49822498,729260.010775017
"PHLr117",2064452.91544883,621465.547551168
"RWAr101",810314.781846446,495104.695153554
"RWAr102",475735.543309549,2350682.28669045
"RWAr103",666109.883720504,1982639.7822795
"RWAr104",253998.26092412,1560774.36107588
"RWAr105",663826.953701943,2363254.85229806
"SENr101",2965180.71506331,258303.706936689
"SENr102",274787.872090439,308159.646109561
"SENr103",1041522.30441758,560614.953582417
"SENr104",605721.901857022,944837.851142978
"SENr105",209654.68911387,691845.24888613
"SENr106",435163.630204326,1196925.87179567
"SENr107",1068150.73862366,802973.04137634
"SENr108",279511.231050771,639854.840049229
"SENr109",236389.935124327,518787.383675673
"SENr110",224052.960210713,972701.092789287
"SLEr101",190095.856394425,400992.051805575
"SLEr102",74333.012111775,321805.473488225
"SLEr103",66742.0655149457,323242.642985054
"SLEr104",178822.907845676,473988.588054324
"SLEr105",127255.720898632,373873.498801368
"SLEr106",91076.8642158919,419737.794984108
"SLEr107",182197.818914827,523685.587685173
"SLEr108",144590.464234148,282225.540965853
"SLEr109",212843.409840747,510236.151559253
"SLEr110",59421.1605882024,137777.951711798
"SLEr111",92106.8571436137,268729.555356386
"SLEr112",67756.348027037,286520.734472963
"SLEr113",479925.966328998,80728.6370710023
"SLEr114",782810.10719047,82427.2351095299
"TJKr101",712420.851157884,6226.14884211624
"TJKr102",1314766.65253807,1762196.54446193
"TJKr103",1010461.11218622,1457486.94281378
"TJKr104",1350025.33751381,1419641.98348619
"TJKr105",53808.1538090568,182756.872390943
"TZAr201",360524.629897926,2030395.91710207
"TZAr202",1479071.13135226,2151433.27764774
"TZAr203",791690.381630627,1066689.59736937
"TZAr204",926085.442819436,1431528.55618056
"TZAr205",743333.402411916,1820543.50758808
"TZAr206",341981.718139188,922059.027860812
"TZAr207",4616200.22704712,855182.698952883
"TZAr208",176140.503342134,778246.323357866
"TZAr209",303791.079086179,1122530.10591382
"TZAr210",228503.639660154,1349397.07933985
"TZAr211",358316.700806657,1469746.81019334
"TZAr212",663851.062857882,2499618.36614212
