"GDLcode","X1","X2","X3","X4","X5"
"IDNr115",4150944.83945685,2032194.45765797,2644612.15600035,2390476.72605429,1003357.63083054
"IDNr116",1484813.03110463,555257.82158711,724621.553220342,935795.017398933,553628.027688982
"IDNr117",1988796.00913608,529885.561740739,1073702.86773913,682199.212314645,523050.872069407
"IDNr118",2358069.04067972,758740.848096139,1021822.68670537,471647.990966617,418563.21955216
"IDNr120",1992653.48994872,890610.85225654,940915.5151421,646321.688305435,277462.911347205
"IDNr121",925565.610496498,356156.209009785,640480.875023677,326789.60685332,206371.218616721
"IDNr122",1606069.75461206,510271.138306331,926095.769004668,534410.242270777,399554.823806168
"IDNr123",1509997.51615593,495212.899393979,910092.633384168,869156.185730554,358975.668335372
"IDNr124",675314.910460112,253648.396143784,680664.056310739,493926.120943661,277404.045141705
"IDNr125",951733.053606963,441142.935578065,632863.950875088,411128.335486114,290168.271453769
"IDNr126",3809534.19210723,1388145.65352435,2143254.98759711,1332865.58082249,1144607.34694881
"IDNr127",929231.166804135,263225.070067918,579007.730454299,344299.673439056,290244.836234592
"IDNr128",472560.3712235,148939.333502389,260137.297639962,127557.510246249,131649.8653879
"IDNr129",914174.016687837,308139.737630906,584283.960328124,439262.622323124,298134.698030009
"IDNr130",3222592.68579706,631308.201170924,1335423.5200109,1063685.77004837,659409.042972742
"JORr101",1020307.91999774,149040.399495263,1004757.8502154,315724.804104209,858347.36818739
"JORr102",340526.045899724,43434.9599974208,267045.363303204,107967.304120674,292919.424678976
"JORr103",359973.642540299,55492.1334087266,419614.475862372,70776.4168945297,195928.936294073
"JORr104",88969.4138731988,11534.7328420196,78158.9857677473,19314.6238824472,47291.5071345871
"JORr105",631620.987483926,83058.0992922574,639371.890675956,125223.732275608,400292.577272252
"JORr106",221564.102464183,32697.3543853374,168953.219581495,25939.8269842715,53839.2383847138
"JORr107",62436.7354712376,7306.19772477562,59162.0801208218,10753.7595596713,33479.5266234936
"JORr108",103381.45012307,12477.4099394276,111683.001708344,18098.131808158,48160.1940210005
"JORr109",124943.899311379,14397.9766070675,130820.967395327,23998.8272821427,86931.7043040837
"JORr110",50317.4169174153,5220.80527318612,50753.3454827844,7207.29911694951,26705.5731096648
"JORr111",68814.9976284041,6711.9822741137,52098.7965914031,16788.5195734798,28540.6476325993
"JORr112",70131.7437620635,7695.70512687901,60685.9232369255,20061.3596295192,37347.2818446127
"KENr101",1577693.94218731,614628.371768231,415111.959421658,852677.673757037,717805.881865766
"KENr102",2332109.96437331,835930.977699189,601379.437558848,682395.184242849,396198.9621258
"KENr103",2682090.21446175,526723.780720896,265256.224688654,375611.336078484,172304.539050213
"KENr104",4125590.11380495,1003533.37852307,616801.858136145,458899.17983247,302284.176703359
"KENr105",4107823.35324296,763631.460251776,608307.014276161,468478.345697385,299080.032531723
"KENr106",8276514.25617503,1460984.86187715,1003143.91495527,984880.670817302,732186.056175251
"KENr107",3540165.87248582,487556.091037646,499851.477059796,277218.767972995,200952.933443739
"KENr108",3346471.43628785,112968.503920687,119534.691750413,71062.4423556445,55733.4416854044
"LSOr101",79161.9720110226,12051.2881552994,23190.47393641,4813.41309520685,4048.49500206122
"LSOr102",177799.207477605,39090.4697648507,77882.11504819,14921.9282536326,13367.0528557218
"LSOr103",167935.97370151,34607.5138883538,62974.1774628342,18722.3359808996,22083.9045664023
"LSOr104",250045.7517072,45577.8997274725,116185.31622497,35014.4769697878,40808.0990705701
"LSOr105",135821.208153823,17948.319324549,38954.7138163854,8912.05767190997,7660.73583333282
"LSOr106",121253.853827338,17046.9516406115,30966.4728441336,7514.34830475418,6049.65568316222
"LSOr107",93815.3399692247,11819.7032083432,23149.6359034085,4895.75836516778,3962.45525385571
"LSOr108",53249.9753824101,7353.93760976932,13939.7244774642,2993.26377966302,2428.27601069336
"LSOr109",90201.7107624879,10728.0011005399,16626.3662939661,3241.00694343942,1958.08009956678
"LSOr110",105730.532857577,15794.4579824473,16653.3712870434,3114.01313550876,2232.16363742338
"LBRr101",137728.415390279,3126.03408833982,24238.8347984502,7010.46320626711,1172.90901666356
"LBRr102",344633.633933569,4209.03614249272,33517.1249402001,10485.9211692143,1802.97341452396
"LBRr103",88550.6552561575,720.492865768902,9451.73654234621,2792.17329194724,1065.04774378015
"LBRr104",218294.774876985,3288.61901966036,28007.9720131717,9887.08087037364,3300.37811980913
"LBRr105",145709.708628206,2367.71514701398,14769.4020473966,4411.36680014414,249.386877239241
"LBRr106",128209.363643089,2776.20369353755,26726.4256134677,6261.54227658364,2466.39447332199
"LBRr107",50308.0339337979,794.911146496928,7774.25907622879,3250.3029579403,139.98047553613
"LBRr108",303871.434964401,6320.99419751706,39462.7235951166,13283.9245522707,2860.29499069488
"LBRr109",325267.959584429,4866.63506848868,50864.8597150949,20807.4884841852,11540.9023478024
"LBRr110",126741.046594924,3230.35739384004,29028.170111222,8101.46977035449,3214.03232965927
"LBRr111",822213.70619504,24877.1844527747,276324.529005607,137726.066579799,109214.323766778
"LBRr112",465656.888760198,11204.5788800876,86861.4404841341,25300.0957822848,3785.31089329507
"LBRr113",85922.6891481529,638.178334670633,8576.5579358015,2010.62779839516,301.152142979842
"LBRr114",83923.9377895693,2478.8172573243,13863.5409955545,4119.39627084149,594.434986710363
"LBRr115",96383.6601168537,1703.3007203305,16558.0125282274,4695.33836291425,396.919571674206
"MWIr101",783135.850966871,69911.0458191163,184861.153922207,117842.463708005,50887.9975838011
"MWIr102",645640.201416817,47153.8536881914,69995.5520296383,30876.8513716008,9452.19309375238
"MWIr103",596201.354536055,18929.6914148621,25529.6292047044,9514.40295661326,2718.30528776479
"MWIr104",929450.241189918,29915.1415992614,43894.5580531477,19492.6600334726,5134.69912420035
"MWIr105",853929.757596992,89254.7243684349,116121.058945591,54579.893377097,24509.7457118849
"MWIr106",411512.838640554,9968.28145624069,17778.5397725217,9018.5502054504,3668.30902523283
"MWIr107",629447.096502427,35930.0472404741,62693.7872822561,24502.7159812271,7337.80099361585
"MWIr108",662712.818733893,41976.173770942,66112.1097376661,34394.21476458,9264.55549291912
"MWIr109",1946174.63711692,108057.545371641,246143.820025979,161902.802833871,133460.279651585
"MWIr110",563020.77659139,21545.0483238951,42756.0214594093,14149.0008038016,4521.70992150369
"MWIr111",826899.363463451,69226.2471739264,123054.58898805,50457.530234744,21292.8681398289
"MWIr112",2929039.24061679,149375.229965701,230916.115447467,101681.312436302,30915.1295337371
"MWIr113",1935679.59537954,89749.9238923051,165425.581762261,60933.5205848144,21466.6053810829
"MDVr101",68808.802744166,13749.8644573169,59142.6368649109,9316.35512819775,29352.3408054085
"MDVr102",35018.1190810168,6885.46410298279,15228.6483937775,997.305720460861,2582.46270176209
"MDVr103",32989.6427069842,5613.9915252383,15667.7813833031,920.656714965959,2198.92766950839
"MDVr104",18938.9196554043,4077.02239125686,9169.73948325449,445.344848467928,1194.97362161638
"MDVr105",30130.1961485037,6013.5165122032,14168.980748007,829.975260270327,3341.33133101577
"MDVr106",36901.0971504681,7185.22844686345,18065.2734543623,1781.84355635749,4209.55739194866
"MLIr101",2244993.82131268,41138.3438352771,147907.35528594,10107.8145948899,6386.67297120898
"MLIr102",2807520.66286938,69880.1503302694,267167.253785431,17984.2215701945,37198.6734447239
"MLIr103",3005699.30231054,72885.7635518335,223475.535400335,18223.9184237028,17918.8193135856
"MLIr104",2572560.22093925,62414.1430841943,171866.116777824,9336.68431662397,11569.5028821057
"MLIr105",2318325.88277336,26883.815550428,100496.34267903,5752.19253466089,6244.00746251833
"MLIr108",1503163.59356838,70676.8608456314,438233.115358105,44114.3479759342,121241.44125195
"MMRr101",864873.083482056,157513.060794603,557754.845621117,59478.1294248341,74732.5336773898
"MMRr102",161348.841572306,24835.883263461,85719.5711937963,9357.69564036587,11252.1832300712
"MMRr103",974603.569846874,154959.272676101,300471.565402447,37533.7339840107,49745.4410905665
"MMRr104",276383.566967154,65600.264864364,171144.845965226,21419.0741748144,16638.3953284406
"MMRr105",2609260.46861837,1222033.44420688,1502986.86336389,116173.077389654,160041.250421214
"MMRr106",734300.378384209,196270.468569134,354576.927217434,9616.23925429535,55475.0235749273
"MMRr107",2246000.15070002,893337.887813177,1461999.54863392,127086.845233198,241680.701619686
"MMRr108",1922851.77443448,758326.109470102,1000106.51638401,107396.0529051,178544.301806306
"MMRr109",3271053.67492783,1282872.99234919,1985810.9473235,191341.230427892,483520.414971583
"MMRr110",1111944.74163902,245278.752013122,531356.732112334,56196.4227959253,102360.381439596
"MMRr111",1206990.34733723,233426.841066487,411735.02198923,44499.3481731099,52886.300433947
"MMRr112",2800074.17324542,838466.548239547,2731593.75691287,363345.193148784,838956.702453372
"MMRr113",4230929.96573065,529038.340437798,1002969.48300948,154158.431501779,129989.245320287
"MMRr114",3131831.35821737,1143486.75163207,1628493.73347854,175497.462253364,188103.641418649
"NAMr101",54009.2083132623,3560.85969075016,27181.1657002028,9291.64801864972,3880.84005713506
"NAMr102",70434.7472479705,6151.44544213471,57588.8651118281,27925.791261252,12963.0014368146
"NAMr103",44924.5088540599,4436.06391723654,24089.5362046579,9394.14920109923,2948.88954294641
"NAMr104",41108.8918040844,5539.4997608641,26247.4159901525,9366.14628191385,4070.31585298517
"NAMr105",137203.135306906,13703.9974032384,106522.204176397,69650.1463069197,61581.4178065381
"NAMr106",68207.0240543289,2317.32370355791,17737.4453309686,4382.64825057259,2898.59541057203
"NAMr107",182396.447321507,9556.54665062195,51729.5799283562,8164.0509015632,4304.81239795164
"NAMr108",166137.132884562,14290.8983994959,40936.8309894609,9286.30196525471,4718.71656122628
"NAMr109",48252.852600009,3846.14647612512,14995.5694049347,4143.78152044815,2488.79122848306
"NAMr110",166714.810626165,16640.1779949834,55530.2420342851,7694.64127607648,6671.94166848983
"NAMr111",96697.7713268967,5453.57768124383,52672.5353003036,20192.3704258901,12268.0469656657
"NAMr112",116504.94716684,11862.6765147168,46668.2393552924,13151.7604926228,6594.96707052832
"NAMr113",88785.6547977134,8222.18831239813,36804.4692299839,12574.7948342917,4089.74502561285
"NPLr101",3578757.43685273,374517.687189316,1289805.59218291,447456.290548592,517336.018226452
"NPLr102",6130132.90873648,561040.314214411,1751206.41495017,685397.48695884,1261144.9151401
"NPLr103",2630202.22512678,297480.893426215,1053017.47261849,323913.024322583,476728.582505935
"NPLr104",2078791.10935817,219034.143974111,698218.761990152,149775.641749403,204272.512928165
"NPLr105",1770924.98667468,172394.994001733,617511.309386589,140530.395918106,209732.297018895
"NGAr101",2375765.45937087,724112.413006591,1094955.27386819,795719.658464936,456237.522289408
"NGAr102",2475124.16696519,731079.645845572,882196.744652664,1064476.08726405,567690.190272519
"NGAr103",5245990.71634096,295401.633808508,340360.261050338,207609.374259444,127694.223540753
"NGAr104",1783187.22312637,432948.105220978,752098.917476042,757548.514540982,392935.198635632
"NGAr105",3331505.83054177,450836.30201309,1045980.38151437,391143.186040045,302129.992890724
"NGAr106",4512479.76708525,196269.388627096,258132.169617515,279182.996364385,240996.811305751
"NGAr107",1869870.88156062,466249.642404295,623845.510677364,495922.531251565,209628.433106152
"NGAr108",2738457.45948247,263015.547342411,525207.413651782,325358.450931398,245825.619591937
"NGAr109",2240856.36279541,618312.546006589,935474.845716042,930039.41654422,434739.937937737
"NGAr110",4953131.40897614,528970.331220164,844248.738520005,906448.68308866,456301.311195027
"NGAr111",9169906.61180772,888508.693140251,1066416.3838135,875950.601529614,277076.299708912
"NGAr112",6512642.79410233,501101.165810204,178832.077022117,262232.540230924,89315.536834426
"NGAr113",1573701.97536508,291019.649185345,398533.95904351,376440.802002301,381486.967403769
"NGAr114",4102896.61718282,945654.261232009,1642543.27776553,2660301.61344394,1472009.67037571
"NGAr115",4060784.80982777,217023.563582543,374595.543241345,371889.846538155,228846.12181019
"NGAr116",2718722.46366856,856274.882306749,656074.268102395,535855.393936911,177246.595985383
"NGAr117",2004726.85910198,447916.166612427,816498.803006467,714446.99064508,488528.714634048
"NGAr118",3895936.6053153,670378.288602983,1080615.56085773,1074913.87009435,515030.470129624
"NGAr119",2478232.27520745,345030.079165661,576405.044863998,344844.661985468,356217.373777426
"NGAr120",2682899.00108801,678164.048249461,1195925.88286513,1647877.96164452,857091.961152881
"NGAr121",4316850.43854795,161959.226763234,207065.661715596,103589.299732839,51048.2802403819
"NGAr122",1619615.00471394,491887.755348597,583598.83022025,750035.417201453,366216.485515756
"NGAr123",2467229.74737734,603887.655369751,969247.54017468,963045.700955393,505472.580122837
"NGAr124",2242277.85641904,615571.201667658,627053.139818477,543132.323193386,236673.18290144
"NGAr125",4896000.59581894,323057.467717055,212796.447213696,110828.979650148,67849.8866001602
"NGAr126",3609640.549275,153666.326477051,271429.691641088,150041.162820235,96973.8617866297
"NGAr127",2299663.31784478,403145.852111161,676688.18909694,679474.708042344,387115.179904774
"NGAr128",1926410.89029665,321063.42610998,818482.145248821,773811.402560981,568062.461783566
"NGAr129",2183853.51867381,217112.12222675,255869.700405705,183015.797515589,103759.56117814
"NGAr130",2874251.52186563,31986.5875842667,85636.8330637267,89382.7344047414,77224.3730816334
"NGAr131",995784.567300618,192750.304103947,432424.840007259,434246.708832678,142126.112755498
"NGAr132",1753541.32580143,327606.78361988,426533.74017579,263093.046805282,114681.202597619
"NGAr133",1282821.71005098,294650.547558636,559602.235426322,522320.029947011,504606.924017055
"NGAr134",2641888.04540704,84516.1490730276,197229.968562524,131242.182421347,83338.6915360615
"NGAr135",1552413.445958,168889.405962101,315622.750806739,228054.467491614,159796.513781546
"NGAr136",3807214.65456975,144670.020650352,173639.300124451,114201.293339443,61909.5733160049
"NGAr137",1034384.55394241,200124.225024483,270375.450395789,332084.96767421,389067.44196311
"PAKr101",65593445.3461969,9884545.18457412,17481188.9045708,9815664.07314026,12497568.3915179
"PAKr102",30060439.1169929,3651235.94850036,4543806.66731255,3388497.42187738,5296132.35531676
"PAKr103",20390912.1288471,1599524.23814646,3244887.89347735,1698439.76380188,2334771.5457272
"PAKr104",6178181.38777243,381852.257343915,572002.320257949,406580.9751181,454651.3295076
"PAKr105",1000362.75363236,166638.339454189,329940.409103581,248930.74081755,573103.294992318
"PAKr106",603729.032400494,59482.7808660445,163189.101900906,81100.0385204502,121932.636312105
"PAKr107",1814221.28351836,258097.22775162,661524.10300216,381490.324684665,534703.420043197
"PAKr108",3571842.41860141,175583.165868964,316418.658232236,133113.50316728,146415.909130113
"PNGr101",152642.910119059,13761.8246188204,22684.039481467,5012.02156891958,7950.48651173398
"PNGr102",98095.5113444194,8843.99558395766,14577.8303791239,3220.96072650175,5109.35646599727
"PNGr103",192011.024847538,17311.1351635705,28534.4773964358,6304.67145349616,10000.9955389599
"PNGr104",279522.360143313,25200.8933420532,41539.4088628033,9178.10134084087,14559.0696109899
"PNGr105",200396.141215964,18067.1119775652,29780.5772684163,6579.99628884995,10437.7387492046
"PNGr106",157239.761883609,14176.262916237,23367.1708947516,5162.95894409856,8189.91596130351
"PNGr107",525027.258379205,25992.2930848234,58047.7931068197,14852.3754483213,18845.4207808302
"PNGr108",474242.77169105,23478.1278846473,52432.9848673188,13415.744775904,17022.5534810803
"PNGr109",355249.914996838,17587.2009721203,39276.9579823562,10049.5832003191,12751.4029483668
"PNGr110",424765.119559849,21028.65956692,46962.6621964743,12016.0828459261,15246.5939308306
"PNGr111",579215.452586772,28674.9641330438,64038.9203025835,16385.292820501,20790.4613570994
"PNGr112",584261.461528186,46634.9499235831,65784.5773278486,22054.9191879599,14241.9380324226
"PNGr113",439410.530341906,35073.1469174633,49475.1715034239,16587.0323051622,10711.0565320445
"PNGr114",395352.111303497,31556.4642319507,44514.4395965237,14923.8986990199,9637.08996900903
"PNGr115",200383.655872424,15994.3490585066,22562.0804605141,7564.15685076136,4884.54535779386
"PNGr116",31295.2391789026,3034.28991995134,5400.9935535042,851.962607222179,949.172100419663
"PNGr117",116947.382522566,11338.857706898,20183.0078847705,3183.70459967288,3546.96738609232
"PNGr118",224500.579594181,21766.8841510271,38744.7488806393,6111.66759328968,6809.01288086313
"PNGr119",196979.820681636,19098.5562024731,33995.1625098663,5362.45914717973,5974.31925884495
"PNGr120",191448.719415888,18562.2776739421,33040.5942412134,5211.88380157403,5806.56316738223
"PNGr121",365960.609080025,35482.4125446966,63158.197295714,9962.68962413369,11099.4390554304
"PNGr122",351104.716805683,34042.0310246119,60594.3383666738,9558.26182467488,10648.8657783566
"PHLr101",2786117.69567758,673509.742983346,1500019.84781176,2449930.56152993,4762378.44199738
"PHLr102",610901.498905493,145654.75876394,280645.164009969,278601.913628421,537003.088692178
"PHLr103",1574148.11257594,504091.625348871,871704.214141991,1071861.07375547,1159767.37917772
