"GDLcode","X1","X2","X3","X4","X5","X6","X7","X8"
"INDr105",5568636.59700564,11889517.9497335,12048005.9909513,10748369.9840679,8953330.10501928,7389868.10919471,5713559.11087224,4286725.22315547
"INDr106",2509433.3530369,5207644.23641129,5531231.24602498,4799098.01294035,3333168.32708553,2632372.82903052,2216958.47116722,1517489.22430322
"INDr107",575438.039023231,1232431.02705318,1120643.10251664,1162202.60817517,1083744.87887703,855605.953378279,677883.035391511,687874.419584955
"INDr108",1160935.31635915,2626028.59816619,2570224.61652217,2321889.71892882,1812607.83520244,1312393.18466133,1156286.43920733,898073.160952577
"INDr109",5201686.58170455,11104742.6703115,11516501.4643945,11756594.8986345,9204635.98186566,7433452.51334774,5503805.58916865,4635238.03057289
"INDr110",2051283.61725591,5418113.12995521,5436653.062428,5285800.7951779,5020952.88473508,5575192.78043709,4785650.91818879,3579501.79182201
"INDr111",7679242.26328556,16381949.6227578,15786737.9535007,12359027.0315588,9489163.83046956,7598548.31474472,5598513.24654271,4686070.01714013
"INDr112",10009780.5696527,20089480.7873683,22440742.2257512,20476420.596071,16207616.6673812,12706821.6446205,9701049.32122901,9490738.58792612
"INDr113",325237.5869648,623950.786556304,506576.336387283,515219.167174116,437629.601990097,334323.289186403,247718.699785456,215141.642955541
"INDr114",405337.321492367,861688.6293991,687313.335924869,548771.558523871,377176.390191769,327795.9697415,170400.402251579,101122.209474944
"INDr115",114086.952501855,256765.945272144,218302.30919305,208363.697599114,166724.465702248,129001.613223962,88615.2728121813,74199.0086954454
"INDr116",216810.073837307,470289.954879122,363836.764653536,345569.622043383,255353.706634362,221968.948810805,142884.795575518,134846.275565967
"INDr117",3933416.6986847,8052091.04080609,7949526.20883386,7102462.02316823,5931177.67608294,5005200.21093167,3896373.53364462,3345852.44784789
"INDr118",2066049.76530813,4892670.31036999,5392423.05863138,5190301.27650897,4057394.26736213,3381556.37976173,2755429.58484304,2288886.99721464
"INDr119",7583143.80227098,16045814.4374875,15142503.9533681,11063244.744464,8274618.94397991,6658105.34960789,6219580.34113077,4744191.16769083
"INDr120",33604.5622427408,114344.969546103,120367.535243626,128383.870810139,90950.9024397377,70270.5203799452,48200.8541624883,36345.6993752191
"INDr121",6118190.0877502,12032118.9619412,12920870.5934664,13480390.5356817,11557454.708104,10167323.852383,6971215.232785,5109759.63788854
"INDr122",8062022.26135514,16614784.2142631,18169349.2622284,16004992.4215775,13289187.6999915,10963377.0010722,8334079.91317411,6146831.65633799
"INDr123",22788126.1501863,51185564.8414086,45785798.683144,30064831.0346212,23450986.6880961,18525696.7622971,15053326.8602839,12682656.879963
"INDr124",1329074.81446188,3255844.15660774,3691653.56494761,3458657.89261835,2521743.34425943,1816018.56824272,1324695.3957862,843863.943076067
"INDr125",136375.44097757,346753.9561344,282487.328714045,254481.920700904,204098.233369893,177057.327538861,93425.1846965532,48512.8278677736
"INDr126",301779.110445656,689192.040813014,707063.010137176,738172.795132183,573044.735100834,472602.994532591,333079.210808969,239862.120029577
"INDr127",1004231.89994982,2216451.68193462,2264803.23102455,1721647.16400256,1332944.80578529,1039814.00240305,898434.576826144,716051.968073974
"INDr128",3752979.08359159,8262636.57785761,6966516.88579092,5400336.02405556,4085765.35849013,3213944.54002734,2958069.02313913,2092471.2370477
"INDr129",2763074.27043728,5336645.80861291,5504030.38578265,4596464.84057698,3386483.38802639,2850156.33711036,1969368.58248787,1525640.16696556
"INDr130",3347009.1853602,6228864.12176296,6841870.89817057,6793337.63369205,5054326.94733417,3944218.41231095,2930245.09523422,2827807.78613488
"INDr131",56660.9510816063,140210.122184664,163021.999733336,148554.359544989,127762.687140858,93080.1239190717,64380.7179275146,60300.8582679608
"INDr132",48606.138181056,94612.9205976291,103048.898646414,100851.674045648,59421.4402437215,44757.4199527902,27009.1727429285,14928.131989812
"INDr133",93189.3042531024,191272.335497745,197237.038832049,211707.383041693,183937.834271582,146802.637947112,107986.419336972,67102.5478197446
"INDr134",10590.4639447639,24598.5529715644,36501.0521551976,33662.8257226818,24098.5792906753,13600.8890487669,10405.7245718998,7411.72749445028
"INDr135",3742.14082429595,7469.46883260035,7639.24279502176,8985.40802011669,7676.56102322758,5720.63184560959,4459.95912047787,3408.43967865021
