"GDLcode","X1","X2","X3","X4","X5","X6","X7","X8"
"GHAr108",62575.9560329963,33895.5804368901,1573425.90706185,127409.073902859,26468.0184251876,968306.555629298,113536.327740207,110264.448770711
"GHAr109",28509.6450599773,14831.1298140421,362703.061581932,47632.491864546,14365.0697271135,196778.494406121,64276.1535607015,47114.6717855663
"GHAr110",24831.968240903,26056.785816708,510440.139084004,80840.2431535581,18326.9788112236,299396.798932301,104326.501195101,61714.251766201
"GTMr101",34156.6129012463,96536.8868754091,1489426.28314227,324667.12275163,37806.7115559844,816886.819794373,381166.202290201,133509.900688886
"GTMr102",10323.283592485,29327.482706242,726367.201615064,141421.420341318,21412.3816466027,464610.427424168,122370.919214238,24456.9104598829
"GTMr103",15885.8489501625,32706.2303513919,537248.478004275,131890.008395371,25464.1587307812,328470.742289729,144803.553679941,28018.6655983482
"GTMr104",11568.5327778532,21203.3717982984,490449.041214091,137925.147460831,21539.0281409637,338036.333088243,125206.493622356,43928.2218973635
"GTMr105",20333.1824604901,43069.3884227235,900251.689832799,149636.876945858,30150.9988693516,422862.834645575,157901.22137591,42281.6464472922
"GTMr106",27212.3165048961,70144.4361782901,1555408.03823265,329305.766971654,71247.0085421026,1279426.94504243,461238.310570694,82166.0409572869
"GTMr107",10850.4827685351,31102.5105444984,939519.329645874,217555.213889261,18130.2524488056,806021.112173783,270542.119283213,36755.0562460296
"GTMr108",5619.80969866184,13708.7506350568,370801.734518124,58191.2752487934,14651.1336918408,199364.035993501,54898.8556089484,10410.5190050733
"HTIr101",67253.5080704631,70260.3929210169,770893.004345115,323822.726547692,113934.222099769,750229.252567741,747294.515378344,355517.316069859
"HTIr102",17608.2820121255,14643.1750559148,157918.678126493,59402.3718397224,33439.8163821538,162180.233624049,134739.060735303,53356.828324239
"HTIr103",14170.1400430234,18679.3609369471,246356.819487241,86527.5777386228,36180.6802204299,357508.354607956,264792.510048515,76425.8099172655
"HTIr104",7541.6493961154,8995.14643889458,122792.779649086,30895.1560338416,11012.5745790585,121921.984814449,84862.3875854298,29683.337703125
"HTIr105",46935.0258339,48809.3037355623,483095.242156724,196442.493390773,70100.7324213481,428080.710749459,427634.50681556,171563.454896674
"HTIr106",13354.4341859343,13992.6349551065,255937.404728283,84119.816915654,25267.6618601232,235928.288102828,108440.097000107,50734.7471519644
"HTIr107",13547.7560068474,13011.7045433992,172389.902516998,47492.116178227,25964.1344649053,244420.940021336,180701.46759095,69874.7738773368
"HTIr108",15222.1541543458,14776.949727755,211284.334854537,60010.6910469065,31141.6375540355,270638.616578594,150068.97608407,67032.341899756
