"country","GDLCODE","X1","X2","X3","X4","X5"
"Finland","FINr103",126391.04,120384.306,120131.139,112348.025,103685.547
"Finland","FINr101",154688.456,139757.131,128244.042,129413.374,118460.006
"Finland","FINr104",143671.984,116728.307,135907.356,137237.142,96306.919
"Finland","FINr105",2087.349,2004.047,3611.595,2620.637,4526.345
"France","FRAr101",629139.39,853236.81,939613.71,1016666.19,1539434.96
"France","FRAr102",164808.39,126094.33,134619.46,110934.35,79650.37
"France","FRAr103",135753.78,163320.72,176911.21,171913.71,138106.57
"France","FRAr104",163971.89,171741.78,175073.72,180512.15,122152.06
"France","FRAr105",214982.26,216546.77,237107.44,238789.66,214970.08
"France","FRAr106",136042.67,140335.57,127577.92,148154.53,97419.53
"France","FRAr107",162670.56,153618.14,155444.4,159828.65,119834.08
"France","FRAr108",463915.47,372046.78,374456.79,307884.6,260984.16
"France","FRAr109",231210.87,224639.57,214649.65,196732.29,189428.06
"France","FRAr110",143936.02,159156.95,174763.73,165006.92,206339.02
"France","FRAr111",108020.54,118281.03,98944.78,115216.34,93229.59
"France","FRAr112",324589.16,316579.58,330043.69,364487.85,286943.11
"France","FRAr113",323433,308166.66,313824.91,321508.23,245586.47
"France","FRAr114",176766.93,202458.55,185922.35,171128.51,107125.19
"France","FRAr115",364933.94,316449.31,305993.25,318571.96,259501.06
"France","FRAr116",285335.15,256073.37,269313.39,260162.31,275950.02
"France","FRAr117",84340.55,65982.14,68502.51,76386.35,49698.58
"France","FRAr118",542848.63,569264.63,562114.2,549696.75,647931.72
"France","FRAr119",148820.44,151897.56,132408.36,127091.92,89503.42
"France","FRAr120",337444.03,277087.42,272077.47,228633.59,178455.67
"France","FRAr121",508657.72,496489.93,412099.03,432258.2,453399.36
"France","FRAr122",31030.33,18127.47,19994.46,18165.16,21370.47
"Germany","DEUr101",831425.53,897143.25,1101561.06,1069239.46,1325901.32
"Germany","DEUr102",1176936.83,1143167.59,1207218.55,1422050.46,1484697.97
"Germany","DEUr103",546378.12,474020.87,439131.09,289843.37,197377.71
"Germany","DEUr104",287925.21,287197.21,238489.87,263093.39,141209.88
"Germany","DEUr105",66670.11,149432.3,42097.64,57687.15,31709.62
"Germany","DEUr106",159286.97,212684.9,213060.19,146253.98,236158.98
"Germany","DEUr107",600788.67,557030.44,541841.64,570611.39,755180.06
"Germany","DEUr108",265091.47,220105.49,129752.33,152277.96,74966.88
"Germany","DEUr109",590136.89,905741.71,819931.8,767818.21,808587.14
"Germany","DEUr110",1765759.73,1492085.18,1911052.3,1694958.15,1907620.94
"Germany","DEUr111",405257.65,389692.31,349026.76,438505.07,315462.62
"Germany","DEUr112",91496.68,164409.09,103667.85,81895.33,60971.94
"Germany","DEUr113",525937.63,600774.68,464299.98,397284.98,230166.28
"Germany","DEUr114",390423.94,308570.62,211929.08,171561.82,86325.63
"Germany","DEUr115",305047.04,275523.92,257080.06,322492.44,240503.64
"Germany","DEUr116",373093.02,252987.48,196311.69,158457.13,120238.45
"Georgia","GEOr105",31185.275,23961.031,13681.278,16245.681,11024.577
"Georgia","GEOr111",25601.013,40082.409,61370.215,75228.292,105272.074
"Georgia","GEOr110",23838.164,15244.325,15054.998,10127.122,7016.8
"Georgia","GEOr106",28303.177,31958.823,21852.62,21850.98,12004.442
"Georgia","GEOr109",11878.233,9672.868,9457.059,8161.109,5880.339
"Georgia","GEOr102",8495.658,17606.725,23258.369,18267.252,14664.501
"Georgia","GEOr103",9531.116,8630.357,6799.345,3813.061,3976.512
"Georgia","GEOr108",16488.968,16268.412,18482.122,18756.356,17683.468
"Georgia","GEOr104",36478.021,33879.775,32721.943,27808.239,23874.797
"Georgia","GEOr107",13621.214,7639.928,2512.533,4716.647,3348.312
"Greece","GRCr101",226501.37,258852.72,278546.47,321617.58,396264.49
"Greece","GRCr104",109427.41,95008.78,86220.89,100343.02,66336.74
"Greece","GRCr103",109427.41,95008.78,86220.89,100343.02,66336.74
"Greece","GRCr102",109427.41,95008.78,86220.89,100343.02,66336.74
"Greece","GRCr105",260503.64,247531.94,246900.39,221169.52,202257.34
"Greece","GRCr107",260503.64,247531.94,246900.39,221169.52,202257.34
"Greece","GRCr108",260503.64,247531.94,246900.39,221169.52,202257.34
"Greece","GRCr106",260503.64,247531.94,246900.39,221169.52,202257.34
"Greece","GRCr111",229728.72,221203.92,213134.83,182512.8,156608.47
"Greece","GRCr110",229728.72,221203.92,213134.83,182512.8,156608.47
"Greece","GRCr113",229728.72,221203.92,213134.83,182512.8,156608.47
"Greece","GRCr112",229728.72,221203.92,213134.83,182512.8,156608.47
"Greece","GRCr109",229728.72,221203.92,213134.83,182512.8,156608.47
"Guatemala","GTMr101",110789.37,102954.62,140361.29,208629.51,231712.19
"Guatemala","GTMr103",49912.73,63191.98,56720.37,54292.14,49551.69
"Guatemala","GTMr105",83968.95,95458.04,83141.87,65931.24,64171.08
"Guatemala","GTMr104",67161.54,58515.49,54783.95,46069.36,36185.43
"Guatemala","GTMr106",163483.48,163386.47,165062.63,130717.38,146690.89
"Guatemala","GTMr107",114107.38,97500.25,81980.76,79610.56,61141.79
"Guatemala","GTMr102",55617.27,55056.21,53147.03,53074.03,53642.08
"Guatemala","GTMr108",24789.35,33338.16,34539.27,31199.95,26372.5
"Hungary","HUNr101",144245.46,233515.25,215234.11,294302.57,403101.42
"Hungary","HUNr102",87825.52,70808.83,100318.89,101330.15,104307.04
"Hungary","HUNr103",58135.18,80596.78,76239.2,111973.66,82129.05
"Hungary","HUNr104",119836.49,73754.97,66751.72,67732.35,46648.92
"Hungary","HUNr105",120853.1,120545.71,122878.26,61436.03,59847.94
"Hungary","HUNr106",148721.9,140888.72,147359.93,97742.87,67208.71
"Hungary","HUNr107",158427.38,119982.06,104798.47,101153.34,73312.39
"India","INDr108",108599.553,145158.529,388946.431,749856.054,1307422.403
"India","INDr107",111192.412,168541.842,345661.885,404781.535,564147.474
"India","INDr118",329828.282,574829.976,1014317.408,1488669.462,2115986.75
"India","INDr131",3916.379,0,39163.787,46996.544,242815.479
"India","INDr127",467163.726,693936.36,838030.922,1214903.298,815511.364
"India","INDr106",400313.817,497501.838,774930.402,993916.374,1759279.347
"India","INDr124",110191.667,260052.333,564181.333,954399.145,2048281.526
"India","INDr119",2016403.332,2241004.542,2931259.497,3018112.941,3098219.468
"India","INDr123",8129703.358,8753081.104,6613562.897,6553869.326,4441387.067
"India","INDr103",4769388.687,4805871.25,3517645.96,2170420.709,1318013.559
"India","INDr120",9323.619,9323.619,31413.556,23022.513,64620.363
"India","INDr125",15725.431,29122.418,70060.702,39202.847,185527.674
"India","INDr116",35547.347,76783.901,89908.14,92747.053,216479.356
"India","INDr113",18854.57,18039.401,43693.872,90194.545,301707.532
"India","INDr115",16972.915,11286.334,6736.346,54332.141,155060.775
"India","INDr126",91503.606,241017.563,216975.474,199386.827,148358.7
"India","INDr114",55991.097,80300.681,122323.433,160015.492,205838.316
"India","INDr102",774716.968,1581912.279,1608716.17,1231549.013,1308047.222
"India","INDr122",5394523.555,5372968.226,4094080.771,3242615.641,3137904.913
"India","INDr128",2895671.795,2716524.62,1761649.328,1248494.31,1017866.161
"India","INDr117",2591648.465,2548317.657,1776044.16,1086836.182,888161.695
"India","INDr129",2381381.993,1875656.654,1191919.394,897764.412,1072923.803
"India","INDr111",3816465.613,2932737.611,2743190.149,2098279.058,1673338.565
"India","INDr105",2734146.764,1983155.904,2171412.359,2565173.678,2868342.518
"India","INDr134",2409.76,2113.115,3744.565,2606.276,2504.042
"India","INDr132",43826.715,11222.374,32225.189,93016.156,53182.044
"India","INDr112",3226926.684,3710161.051,4638919.152,4912547.127,6921603.993
"India","INDr101",4931781.317,4526583.085,5060612.856,4422622.488,2507175.537
"India","INDr130",4931781.317,4526583.085,5060612.856,4422622.488,2507175.537
"India","INDr109",2171501.419,2407480.601,3215464.252,3181842.509,2621263.262
"India","INDr104",68836.97,81868.042,168418.584,290601.996,273525.209
"India","INDr110",776320.655,525746.848,1020308.463,2375254.631,3229802.346
"India","INDr135",776320.655,525746.848,1020308.463,2375254.631,3229802.346
"India","INDr121",2553252.175,2181303.222,4032142.294,5150724.306,4401565.485
"India","INDr133",34447.384,37510.95,39715.069,129271.174,236978.313
"Ireland","IRLr101",77007.69,76963.4,63271.09,59881.59,39338.23
"Ireland","IRLr103",77007.69,76963.4,63271.09,59881.59,39338.23
"Ireland","IRLr106",128996.88,122033.27,119794.99,121948.47,97006.41
"Ireland","IRLr107",128996.88,122033.27,119794.99,121948.47,97006.41
"Ireland","IRLr108",128996.88,122033.27,119794.99,121948.47,97006.41
"Ireland","IRLr104",145641.01,152580.47,168367.46,169904.4,214712.66
"Ireland","IRLr105",145641.01,152580.47,168367.46,169904.4,214712.66
"Ireland","IRLr102",145641.01,152580.47,168367.46,169904.4,214712.66
"Italy","ITAr101",304765.2,537054.37,516559.84,478483.7,379492.04
"Italy","ITAr102",15977.9,73202.47,15124.63,34681.58,32015.14
"Italy","ITAr104",311420.95,506897.59,618171.05,627409.89,890918.12
"Italy","ITAr113",156112.81,134989.46,256247.91,350660.97,282597.9
"Italy","ITAr114",156112.81,134989.46,256247.91,350660.97,282597.9
"Italy","ITAr115",241303.14,256854.28,267663.43,376451.57,365206.89
"Italy","ITAr116",89532.72,121345.46,174349.37,202640.93,256120.56
"Italy","ITAr103",124349.78,166584.45,214896.25,201105.56,180776.49
"Italy","ITAr117",168869.46,345801.32,384959.82,426709.72,561899.38
"Italy","ITAr118",191170.22,218430.04,260384.8,343323.25,455429.13
"Italy","ITAr119",66482.54,60009.04,79203.03,91684.78,79373.35
"Italy","ITAr120",118539.71,133042.7,162579.63,156044.66,192612.22
"Italy","ITAr121",571407.67,467542.15,418991.42,475151.11,411767.21
"Italy","ITAr105",78363.94,107804.78,110659.15,86015.65,120168.64
"Italy","ITAr106",103543.55,92898.3,91021.62,77784.01,64356.89
"Italy","ITAr107",645115,539016.24,444039.37,207989.66,151528.95
"Italy","ITAr108",435835.46,259411.47,290010.8,277369.84,145052.31
"Italy","ITAr109",297755.17,217165.19,117786.53,118432.26,17384.23
"Italy","ITAr110",311392.16,254709.16,121802.89,107784.95,91839.36
"Italy","ITAr111",550342.71,284399.75,238231.31,160464.78,150081.15
"Italy","ITAr112",138962.61,131171.3,133869.89,111953.68,85608.06
"Japan","JPNr101",327676.4,499463.8,414754.2,530887.3,398497.9
"Japan","JPNr102",970886.4,1278353.2,852804.3,412107.8,493482.8
"Japan","JPNr103",2743628.2,2778221,3012699.1,3766961.3,3225822
"Japan","JPNr104",2743628.2,2778221,3012699.1,3766961.3,3225822
"Japan","JPNr105",1805254.9,1523507.4,1083215.5,1889453.4,2008197.8
"Japan","JPNr106",1805254.9,1523507.4,1083215.5,1889453.4,2008197.8
"Japan","JPNr107",1115691.3,1271144,1835255.8,1260360,1648672.1
"Japan","JPNr108",469691.1,541400.7,538965.4,387334.9,552585.6
"Japan","JPNr109",426785.4,452561.6,526326.1,201080.6,269064.5
"Japan","JPNr110",1570743.7,1154713.6,1181896,971986.3,855049.1
"Lithuania","LTUr101",14991.649,15112.529,13328.434,8551.594,13084.648
"Lithuania","LTUr102",54293.876,55803.767,49506.602,49639.02,51871.716
"Lithuania","LTUr103",30850.537,30165.069,23492.65,24187.643,34843.382
"Lithuania","LTUr104",12465.141,15925.327,10338.842,13370.668,8367.255
"Lithuania","LTUr105",22623.278,22047.127,28509.532,19579.537,14760.745
"Lithuania","LTUr106",26936.916,29681.853,28614.21,28638.105,13390.724
"Lithuania","LTUr107",12164.864,9537.945,12943.852,8134.829,7163.79
"Lithuania","LTUr108",10560.695,10660.341,12883.882,15371.023,8589.194
"Lithuania","LTUr109",20568.399,14808.286,15307.86,10440.246,7750.218
"Lithuania","LTUr110",56624.963,57026.269,66017.993,83250.728,101151.268
"Mexico","MEXr101",37703,56410,76074,73767,80709
"Mexico","MEXr102",84893,165991,221049,243084,286192
"Mexico","MEXr103",22178,34770,45678,52116,57540
"Mexico","MEXr104",46138,47484,43355,43222,54858
"Mexico","MEXr105",141944,142556,150242,196026,155738
"Mexico","MEXr106",23261,36184,43511,52534,46235
"Mexico","MEXr107",615132,243609,134909,99569,95625
"Mexico","MEXr108",206666,181754,208560,217673,225190
"Mexico","MEXr109",193658,378263,475508,569892,956950
"Mexico","MEXr110",73785,97445,101230,112403,77724
"Mexico","MEXr111",316216,302843,310340,274091,251761
"Mexico","MEXr112",273245,186236,172330,141913,93930
"Mexico","MEXr113",232155,143781,175420,122551,101372
