"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est","X3est","X4est","X5est"
"USAr122",0.956930233,"USA","LIS",6793867.073,1007709.33130342,1132244.92965175,1316263.43114171,1498204.53597742,1840652.29147053
"USAr123",0.912198851,"USA","LIS",10056007.86,2062542.71462218,2059212.4470111,2014572.99512745,2016617.46775955,1901899.29204802
"USAr124",0.947251383,"USA","LIS",5550537.163,823290.775754262,925035.402094677,1075377.1029588,1224021.58672877,1503798.77000697
"USAr125",0.86283609,"USA","LIS",3029494.399,834776.738216077,681732.791456283,571819.640138238,506707.772302482,437195.439368895
"USAr126",0.905443875,"USA","LIS",6146641.433,1412254.10629823,1340765.31115521,1244507.19990015,1133280.11235291,1016274.64371638
"USAr127",0.917882338,"USA","LIS",1043140.764,213953.928145957,213608.469197583,208977.880937238,209189.960399896,197289.889604166
"USAr128",0.934777314,"USA","LIS",1914995.859,332436.652041048,366162.547611549,390097.822674122,410906.802938811,414615.696806153
"USAr129",0.901694949,"USA","LIS",2902481.687,666875.028517899,633117.582115653,587663.913117971,535141.801941781,479891.103865737
"USAr130",0.942240138,"USA","LIS",1347382.525,199852.297474832,224550.615406575,261045.782374094,297128.953063299,365044.34153338
"USAr131",0.944086629,"USA","LIS",8932716.048,1324956.93818138,1488698.90221457,1730650.20972852,1969870.11342897,2420127.45997787
"USAr132",0.900452095,"USA","LIS",2118553.303,486759.417185193,462119.485813138,428942.352941013,390605.886388538,350277.794250584
"USAr133",0.942632427,"USA","LIS",19716817.59,2924523.08170887,3285943.99997409,3819993.19288251,4348013.47023314,5341848.03552749
"USAr134",0.905076116,"USA","LIS",10123209.63,2325911.56076394,2208173.10679401,2049640.83360962,1866455.40852041,1673753.28008571
"USAr135",0.942098804,"USA","LIS",761713.3653,112982.143710444,126944.799838137,147576.547639686,167975.382318329,206369.868032178
"USAr136",0.913678304,"USA","LIS",11769095.12,2413906.36676088,2410008.77272202,2357764.78458701,2360157.54254947,2225896.59717845
"USAr137",0.895444312,"USA","LIS",3958252.822,999991.821444085,883575.979267751,805887.190963809,697188.90105182,572383.346546674
"USAr138",0.929481084,"USA","LIS",4065653.519,705783.376952601,777385.519256571,828201.574460575,872380.314295613,880254.523178357
"USAr139",0.922998409,"USA","LIS",12932401.03,2652506.82958385,2648223.98127234,2590815.98183997,2593445.24986973,2445913.39882247
"USAr140",0.920401787,"USA","LIS",1043939.19,214117.689725342,213771.966360683,209137.833821186,209350.075610697,197440.896431656
"USAr141",0.889894619,"USA","LIS",4941164.952,1248309.48466539,1102985.29616936,1006004.8517174,870314.63570334,714517.404079273
"USAr142",0.928215848,"USA","LIS",864268.0238,150033.937122057,165254.969052028,176057.338561193,185448.761611083,187122.644276754
"USAr143",0.891862733,"USA","LIS",6667148.53,1684352.74404333,1488265.79711545,1357409.40313797,1174321.6428584,964103.345373712
"USAr144",0.909729985,"USA","LIS",27811323.23,6389937.63688362,6066476.76630612,5630943.72361858,5127681.49213392,4598274.18191442
"USAr145",0.929986771,"USA","LIS",3018545.417,524009.035186812,577170.062679433,614898.454887285,647698.970729247,653545.178977055
"USAr146",0.936981537,"USA","LIS",632999.0373,109886.441642284,121034.486337981,128946.255964486,135824.633488301,137050.602848204
"USAr147",0.928395986,"USA","LIS",8426811.269,1462865.26546903,1611273.81450841,1716599.39245992,1808167.91913153,1824488.65867254
"USAr148",0.939695794,"USA","LIS",7188843.422,1066294.72136989,1198070.46961041,1392787.28990555,1585305.93953996,1947662.64566965
"USAr149",0.872345948,"USA","LIS",1866403.703,514287.267175352,420000.316505135,352285.283694342,312171.319041357,269346.326318399
"USAr150",0.928920412,"USA","LIS",5823899.841,1011008.85198542,1113576.29980914,1186368.43874568,1249652.8663779,1260932.38236368
"USAr151",0.932715159,"USA","LIS",592811.423,102910.010916013,113350.292575702,120759.762629151,127201.448204561,128349.583664448
"UZBr101",0.710086348,"UZB","LIS",3450532.766,629262.394346492,676799.211517446,701366.078541331,721159.474095419,715608.795890577
"UZBr102",0.703348329,"UZB","LIS",6251989.832,1140154.97255366,1226286.5115806,1270799.00088395,1306662.47940653,1296605.25460944
"UZBr103",0.67967613,"UZB","LIS",5290077.056,1403975.33450703,1211350.9245373,1074696.00774318,907566.794911801,732752.098835584
"UZBr104",0.729788178,"UZB","LIS",1996947.406,311164.055854426,341395.327230144,386051.560146147,428933.883431924,518242.410827692
"UZBr105",0.702466834,"UZB","LIS",8978745.416,1934628.43606575,1886074.37523893,1794840.97730389,1753812.83291935,1626631.5212778
"UZBr106",0.794394352,"UZB","LIS",5104707.096,795414.721072644,872693.564295583,986846.289781509,1096464.44963497,1324759.8329589
"VCTt",0.727687988,"VCT","LIS",99192.88041,19838.576082,19838.576082,19838.576082,19838.576082,19838.576082
"VENr101",0.771760246,"VEN","LIS",2058024.03,323423.279032526,379025.999139903,426443.8525803,476590.384114169,516697.083869978
"VENr102",0.707685267,"VEN","LIS",170163.7164,35926.146286193,34439.2751025442,33220.7848786701,32866.3357642117,32598.3852179207
"VENr103",0.738020651,"VEN","LIS",1670036.175,352589.642466719,337997.056474876,326038.439233759,322559.772595152,319930.028047465
"VENr104",0.65248527,"VEN","LIS",501809.0956,105945.423370336,101560.672615442,97967.3714689015,96922.1087458867,96131.9284175273
"VENr105",0.7511637,"VEN","LIS",1751602.45,308357.132419059,343631.873065475,366816.693055428,372933.885530998,384443.401614472
"VENr106",0.671397898,"VEN","LIS",958193.4612,202300.462083378,193927.876693494,187066.546970841,185070.640728386,183561.808723463
"VENr107",0.729208876,"VEN","LIS",1532143.098,323476.697821634,310089.005839827,299117.798663671,295926.361759266,293513.752368789
"VENr108",0.747271313,"VEN","LIS",2539089.564,491489.705471745,509754.889814598,534690.855056141,516442.3739188,487399.564019416
"VENr109",0.702213197,"VEN","LIS",369603.6255,78033.2858175652,74803.7314110532,72157.1131195161,71387.2329092653,70805.231672697
"VENr110",0.710450033,"VEN","LIS",218142.864,46055.8373380302,44149.7298242652,42587.6756283691,42133.2864870996,41789.7849415593
"VENr111",0.715794383,"VEN","LIS",986942.058,208370.065615847,199746.278259665,192679.088645774,190623.299398332,189069.198035284
"VENr112",0.686656021,"VEN","LIS",833458.1992,175965.486775688,168682.823906166,162714.685167672,160978.601078217,159666.185103114
"VENr113",0.705808937,"VEN","LIS",1975983.038,417183.270229893,399917.35537602,385767.946411042,381651.995885153,378540.488063772
"VENr114",0.713543039,"VEN","LIS",917614.5204,193733.154115722,185715.142891324,179144.386527705,177233.005764221,175788.071925049
"VENr115",0.758502089,"VEN","LIS",2962131.147,521462.085382502,581115.123645319,620322.923012024,630667.694089547,650131.412056918
"VENr116",0.716608081,"VEN","LIS",1072719.712,226480.040003374,217106.737270872,209425.320164557,207190.857025032,205501.68474478
"VENr117",0.7459697,"VEN","LIS",558585.6626,108125.017204794,112143.256751489,117629.031205649,113614.466271797,107225.208704271
"VENr118",0.670676631,"VEN","LIS",985579.2579,208082.34178854,199470.4624245,192413.031404474,190360.08085437,188808.12544252
"VENr119",0.693844002,"VEN","LIS",974976.2863,205843.76874354,197324.536938373,190343.030548532,188312.165869457,186776.906567052
"VENr120",0.723181798,"VEN","LIS",1307727.392,276096.494490136,264669.721401434,255305.486320328,252581.504816787,250522.274585458
