"GDLcode","X1","X2","X3","X4","X5"
"ETHr102",1370118.45184126,39990.5003119429,28692.6419075031,37730.6926262145,367569.264313083
"ETHr103",3614342.49880318,4717828.61299499,5155644.81671372,5261270.41367464,3817533.55781347
"ETHr104",6712447.1228634,8452166.15102205,8172136.1223521,8322397.0225596,6542138.25120286
"ETHr105",4149883.1712792,499633.201517841,348766.965803487,313207.488794032,758044.657605443
"ETHr106",324316.628967352,258276.138553073,187173.243177979,188927.830573763,144815.460727833
"ETHr107",3786016.48333945,4363555.25740362,4741991.60262025,4977928.13261681,3032995.04401987
"ETHr108",181317.168294141,48928.7110261712,41983.3028098647,57550.3885551069,172620.198814716
"ETHr109",23188.3726683111,38441.7917652154,27754.1996306253,26789.3934010993,139080.213734749
"ETHr110",0,0,0,3387.59738890973,4281232.15261109
"ETHr111",85860.2577114777,51109.0923060587,28836.0489800683,15866.7568741873,284312.453528208
"GMBr101",13.4275980827452,69.2444298953816,477.093881834597,10107.9299279924,22293.4454021949
"GMBr102",108.423936039513,10948.9964902277,38654.2733097752,120129.465273292,187834.699290666
"GMBr103",175590.963860574,142467.543226184,173351.820369839,242131.434540959,219477.413802444
"GMBr104",40238.5848148916,29416.5983476702,14323.4898770698,5946.98753012205,1627.16235024638
"GMBr105",83155.7622799458,93394.6941172144,56222.2679305379,22429.5674322717,5852.67274003015
"GMBr106",91291.9677928407,90485.6757950171,58162.8769282062,15177.4700622686,401.399221667386
"GMBr107",1247.1096071172,1046.56394860719,805.886013934429,351.56097322996,47.4505261112152
"GMBr108",55468.6639445559,82400.0218213833,106823.880918676,30834.0427478295,4921.51216755492
"GHAr101",171777.905456533,651232.571225768,796686.919970047,676691.52857582,432305.843771831
"GHAr102",124647.781488687,779719.872365124,807208.309339012,505785.70347485,394060.774332327
"GHAr103",123609.974676644,167065.55756162,520838.301633614,1382256.43584773,2411551.1202804
"GHAr104",533668.930705926,816886.987559034,690603.488177846,312291.666380411,100889.902176781
"GHAr105",364543.463476264,854942.819400597,809018.945169517,517967.190026439,362748.782927182
"GHAr106",376581.394620547,1078455.57903738,1188990.7417467,1714330.0878214,1545881.53477397
"GHAr107",650001.523818568,788358.59297981,614241.855345904,368329.313178173,185343.546677544
"GHAr108",2151848.36973863,467931.378450941,231200.29138596,105404.128209189,59497.7002152835
"GHAr109",467697.052804238,151839.983352693,72609.7344469236,60407.8929821507,23656.0542139943
"GHAr110",881773.795875854,106639.121129278,69015.0379412199,49784.4962790116,18721.2157746369
"GTMr101",61319.3123664673,165160.469744312,362006.061686882,1037761.05053453,1687909.64566781
"GTMr102",811808.956117853,307203.233993464,196701.166129407,127974.198479986,96602.4722792902
"GTMr103",313698.95288427,229778.393202195,218770.412440872,246412.290611692,235827.63686097
"GTMr104",241351.187485465,278696.750670942,265681.219057635,236798.629250946,167328.383535011
"GTMr105",100489.666702457,304424.482672355,522692.185794311,498953.740738175,339927.763092701
"GTMr106",563445.803842581,1047443.76192442,1078939.87009744,725206.772560057,461112.654575502
"GTMr107",841093.937507011,670858.099268362,389814.047711971,239358.695039211,189351.297473445
"GTMr108",261206.477100787,166074.608642816,132475.819208702,94843.2332885957,73045.9761590991
"HTIr101",296825.69802447,334469.518313765,543036.85927595,874601.78453535,1150271.07785047
"HTIr102",125111.011669388,240706.975171898,162274.58454245,55683.9625870823,49511.9121291815
"HTIr103",212227.751211733,232597.949963305,235442.049493411,218695.809977357,201677.692354194
"HTIr104",85774.5417376997,96922.8091086703,85759.1170497239,102122.263020651,47126.2852832554
"HTIr105",488280.054435163,447900.766044746,358817.170766553,342553.90848646,235109.570267078
"HTIr106",275874.788524765,199136.073361115,169204.873875897,80825.500370222,62733.8487680017
"HTIr107",197428.918581165,184221.617296227,206553.84481153,115642.603321509,63555.8111895693
