"GDLCODE,""X1est"",""X2est"",""X3est"",""X4est"",""X5est"",""X6est"""
ARGr106,124949.767602932,288279.977010683,766509.01830635,371773.529577722,96581.6873610918,8173.02014122207
ARGr107,247975.20260226,516336.245198399,995643.061681841,353537.008699557,70493.5372531245,4530.94456481877
ARGr108,194849.92597523,412506.73055749,926680.766404289,378848.60832667,87068.5479636057,6113.42077271526
ARGr109,297922.1534511,620336.245157121,1196184.62609211,424746.127238258,84692.2845608949,5443.56350051456
ARGr110,382262.073769885,791988.349150944,1508910.12735527,520322.304179503,100229.154583789,6665.9909606087
ARGr111,221555.238946953,480552.884558643,1155759.26067452,497972.697657069,117158.890388247,8814.02777457102
ARMr101,5272.83415728703,16725.7949703891,63183.1765747283,43120.4115074448,15967.3338558774,1647.44893427341
ARMr102,9599.40679424369,30499.744866079,115665.294740173,78786.3377174049,29374.6545765277,3047.5613055715
ARMr103,8606.61951344007,27616.4594460497,110943.372641468,81458.7978022932,32786.9193584355,3446.83123831369
ARMr104,7365.98895198348,22880.5365465182,93574.2259730495,71057.9803777562,29397.384704811,3108.88344588157
ARMr105,7800.3334075638,24398.6472174223,91640.0499592017,62502.4966782339,22881.05747577,2343.41526180821
ARMr106,13087.2030504912,39489.6539940247,137624.406814383,84968.9949131815,27824.5356032897,2613.20562463033
ARMr107,9727.27845825162,30453.3227211585,110134.045626879,72439.4991698403,24752.7594063766,2360.09461749403
ARMr108,5115.79502025609,16103.1827288325,58404.3909120727,38363.0170130988,13095.7988775523,1228.81544818759
ARMr109,2380.17417789862,7492.16486614264,27173.2199148694,17848.7726969742,6092.94981598842,571.718528126761
ARMr110,5341.95519869092,16651.1723351572,61609.3981709672,41405.358463974,14948.9121799717,1527.20365123916
ARMr111,61010.6621733559,148893.569927634,423977.43857465,217541.190706829,61347.5115358039,5283.62708172825
ATGt,3622.88218266011,11050.2584560505,40176.4556637068,27907.6672243276,9901.04428540648,907.692187848487
AUSr101,1172412.4155518,2236393.40616971,3054954.78468322,983300.722532555,174605.004168939,7840.66689376819
AUSr102,929226.996827148,1772513.75111124,2421286.59024636,779341.437583504,138387.892777928,6214.33145382478
