"GDLcode","X1","X2","X3","X4","X5","X6"
"DOMr104",25897.3276789167,74584.7214119888,289641.157889248,216248.34656009,58254.9176775589,1641.62448219823
"DOMr105",11757.6395269802,29635.3652382686,135367.037648482,121179.195664395,96817.7624801622,10438.0923417117
"DOMr106",59474.0844694325,132242.659862074,402961.745040893,310615.489003135,136473.857129556,12152.5644949097
"DOMr107",7083.26479864781,20302.1535228427,104286.071711361,96700.7023317676,58921.9431228714,8085.75311250929
"DOMr108",18076.2406465443,55799.101769109,182838.580299047,124173.124873198,43829.5079491489,5675.37096295298
"DOMr109",28043.9658689413,79478.9248854346,312308.049952275,230825.992985695,91753.4363772726,2246.53763038158
"EGYr101",326644.309532359,895709.022543639,3773455.61775486,3671580.50772234,801334.111499767,65992.2209470396
"EGYr102",142010.595365117,585592.304507342,2293534.66891961,1875848.67664178,354776.159145818,5603.60442033137
"EGYr103",17321.9905662635,56136.0805388168,262877.245723202,284850.51153411,87732.6744420937,20369.3777955135
"EGYr104",7625.99932680902,38361.0875227363,204977.618269079,250618.068785587,77068.8113785093,5777.27221727956
"EGYr105",15423.2928409921,77599.7642389164,520890.000157848,681409.747082867,190547.077302866,23811.1153765112
"EGYr106",72253.2166293972,498892.707539361,2479723.92172086,2835628.72639681,716891.925876242,56378.5758373395
"EGYr107",83844.9486685729,418099.736700868,2243945.09153214,3330152.8805592,1020464.35945861,92878.8060806033
"EGYr108",97993.527709534,424419.135505339,2173645.32103955,2488061.23587974,430957.912100092,19469.9647657405
"EGYr109",37772.7779665332,211694.197170739,1277047.24027938,1397233.13950155,568242.016570808,41760.6735109845
"EGYr110",78501.7144898316,437165.879996885,2058819.12894384,2370824.19742706,355770.963142378,0
"EGYr111",42337.8113513161,230944.527329194,1534596.75378401,1989646.39908928,531728.170726903,59665.1487192927
"EGYr112",57175.8544801286,311643.596954595,2194255.91174484,2652647.43363506,961912.939708609,201588.256476763
"EGYr113",13759.0879557456,69765.4077691572,434580.846608287,564116.218134301,161350.534032681,38338.5834998279
"EGYr114",173975.400453859,610175.030096001,3146501.59229893,4242129.79169025,1224910.74831517,73334.3411457912
"EGYr115",48245.9731187008,193123.578491854,895203.84130104,1399681.16100125,552679.534983638,54047.0291035132
"EGYr116",41053.0628671008,187258.208134565,931883.20389897,1584757.50270692,731309.860432899,20820.6699595437
"EGYr117",61225.8388267002,336846.328414672,1558125.44931147,2283195.39662177,1347470.05205501,90298.7237703711
"EGYr118",29123.8815758261,265382.195800495,1120678.97645827,1623059.28775131,1444839.19567707,193314.638737026
"EGYr119",59939.1197116015,262069.800747346,962877.394245739,1760559.16462035,1396730.02812717,630393.2015478
"EGYr120",38223.1509612792,228699.044086273,1184765.32574349,1884147.25762564,1450424.97190538,137851.817677946
"EGYr121",10077.0607922957,65262.5763707524,308433.669594089,483590.639563416,370444.019299565,98404.267379881
"EGYr122",26216.8625502701,97416.0296823736,471859.948868822,607435.284712059,407429.171538335,83756.3786481413
"ETHr101",134191.316132029,385430.464508229,1572450.75680797,2005086.90922749,1862849.52338202,122381.864942261
"ETHr102",39738.6381660033,139202.232688607,395822.966425766,513423.442394779,651668.669613433,104245.601711411
"ETHr103",482322.68014622,1538785.36772801,6686609.98518932,8033298.23316117,5429942.75050204,395660.883273241
"ETHr104",412949.84585441,1438633.81035421,7646208.06963417,12537960.3562901,14637230.5350501,1528302.05281701
"ETHr105",82618.2541523937,204434.883833239,1043330.15010074,1657273.5507012,2749928.58169583,331950.064516599
"ETHr106",25952.1276187294,74306.0369495862,257062.203881795,383519.391106815,348288.441058344,14381.1013847295
"ETHr107",190107.678870723,644509.794949478,4829728.98012402,7137884.4736243,7628414.24363906,471841.348792418
"ETHr108",18178.6773434343,37048.0760677227,124718.111847185,170959.4545495,136932.984598979,14562.4650931786
"ETHr109",9210.04318383836,22978.2490457798,74276.9035676639,72309.1467177692,72393.6912893768,4085.93739557204
"ETHr110",167361.44950213,391703.227487905,1506292.93881774,1286046.7926962,816125.066967984,117090.274528039
"ETHr111",17101.8285925822,33139.432855771,121169.160384942,120318.765967053,149373.989957737,24881.4316419155
"GMBr101",1101.41559758702,1338.37398540894,4826.75783932193,7268.59770644348,9398.64157624212,9027.35453499651
"GMBr102",6384.94003432862,9683.70919080743,37516.0983769546,61934.907460831,102704.757578707,139451.445658371
"GMBr103",9102.34252742974,10265.4175131993,52199.7959193193,124323.975002883,280540.443035416,476587.201801753
"GMBr104",841.690354910277,880.120626189799,6188.29411291886,14359.7459541313,31251.3996624973,38031.5722093525
"GMBr105",2145.87485874822,2889.39825302347,14818.8525394982,29634.3109230728,77966.6785783985,133599.849347259
"GMBr106",544.193802164267,598.691456471492,6981.81697894313,22690.9466474331,62544.4909799854,162159.249935003
"GMBr107",26.6261620598672,31.0748988237279,115.421652095447,305.964527483324,817.393913403715,2202.08991513392
"GMBr108",828.118302255735,1151.51878356784,9063.47894246286,19660.7570091921,55192.4608583085,194551.787704213
