"country","GDLCODE","X1","X2","X3","X4","X5","X6","X7","X8"
"UnitedKingdom","GBRr110",409353.07,758582.76,1333289.14,369731.57,17854.45,22564.79,61720.85,67700.36
"UnitedKingdom","GBRr111",817454.99,1459758.63,2146492.21,558246.22,22466.69,94208.78,44638.12,118057.75
"UnitedKingdom","GBRr112",152876.82,424853.35,910778.95,227438.5,19630.08,17088.74,23458.61,54930.6
"Australia","AUSr101",964347.482,1965379.013,1634300.598,411718.399,273401.959,142857.249,94362.326,394200.197
"Australia","AUSr102",776051.238,1578442.882,1313310.494,329670.073,174241.027,77983.363,82599.849,332987.419
"Australia","AUSr103",592944.691,1388165.442,705753.963,201303.52,222623.896,123229.45,42688.62,278109.621
"Australia","AUSr104",275524.301,527146.744,328357.621,89121.013,52685.235,10757.132,6804.741,93150.95
"Australia","AUSr105",314631.771,720001.363,501572.526,63889.446,100429.217,59457.358,30716.551,132693.387
"Australia","AUSr106",84926.782,170837.282,101335.628,28739.115,14974.31,0,3897.54,18035.997
"Australia","AUSr107",66993.719,166644.05,90475.789,25886.701,23538.192,6928.31,6438.383,38544.701
"Australia","AUSr108",66993.719,166644.05,90475.789,25886.701,23538.192,6928.31,6438.383,38544.701
