"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est","X3est","X4est","X5est","X6est","X7est","X8est"
"LTUr101",0.835345687,"LTU","LIS",148173.5207,9799.15192691199,22086.6821303877,69007.9676208762,8348.36031833352,2775.79805714091,24798.2349261463,6678.96841801891,4678.35730218448
"LTUr102",0.876491428,"LTU","LIS",588504.8724,66166.6534926106,116974.391478316,252080.601043809,45278.8601630475,9724.18824371902,45996.2503039773,20984.2894222847,31299.6382522359
"LTUr103",0.870924007,"LTU","LIS",337239.876,37076.6841325725,65560.8662253179,144834.195904479,25850.5700355837,5596.64495816606,27876.9483963995,12511.4333054961,17932.5330419855
"LTUr104",0.824364165,"LTU","LIS",155873.9478,8408.73645216302,21691.4950520191,73539.5877045577,7637.69180118502,3026.99514957998,30758.9953175158,6973.27860577206,3837.16771720739
"LTUr105",0.842402315,"LTU","LIS",237124.138,17962.1511659862,35836.7273354464,108158.766165546,14182.1554752702,4333.95583397615,37986.8958931491,10416.5868106933,8246.89931993217
"LTUr106",0.841449707,"LTU","LIS",289985.1066,21263.0800162534,44931.7862551907,132848.79826054,16847.0003170859,5414.64328719049,46450.1814561235,12517.7521085509,9711.8648990647
"LTUr107",0.81077025,"LTU","LIS",91542.63764,4103.11372810749,11836.5255271064,43989.2631095411,4108.06469785286,1778.54779350657,19542.2992819403,4187.30816806472,1997.51533388057
"LTUr108",0.841559998,"LTU","LIS",140040.1961,10268.4097472408,21698.5493912955,64155.6112249505,8135.78757806959,2614.85052332582,22431.8158827682,6045.09824854797,4690.07350380155
"LTUr109",0.825160017,"LTU","LIS",141112.7657,7612.43346662147,19637.3217087293,66575.4268490263,6914.40634462093,2740.34027716924,27846.1343968604,6312.91273458806,3473.78992238426
"LTUr110",0.907155567,"LTU","LIS",830731.8032,104848.664680643,176431.84837915,345833.935254205,67506.6897138747,12334.0770123343,48555.6431797522,23918.2964314047,51302.6485486356
"LUXt",0.908421326,"LUX","LIS",565904.0727,71446.1642580096,120049.056260982,235388.347466966,45974.9783493404,8413.55919041969,33174.6794485989,16370.8595889496,35086.4281367335
"LVAr101",0.884994755,"LVA","LIS",983400.5691,41878.1271403352,130313.918736963,475544.44176618,35330.0878403551,17945.2665237462,230637.0997486,33944.8201262269,17806.8072175937
"LVAr103",0.830366549,"LVA","LIS",203529.9493,8667.32576883901,26970.4798909073,98421.2732469197,7312.10781532587,3714.05030718632,47733.9130091131,7025.40524825143,3685.39401345738
"LVAr104",0.83273799,"LVA","LIS",258020.7214,10987.816069213,34191.2465555559,124771.45506898,9269.76761874012,4708.40749910267,60513.6428924379,8906.30659770513,4672.07909826524
"LVAr105",0.822019797,"LVA","LIS",248423.8914,10579.1349279645,32919.5363653767,120130.702044756,8924.98762008783,4533.28285758381,58262.8967493825,8575.04517853581,4498.30565631328
"LVAr106",0.809876785,"LVA","LIS",292113.9666,12439.677398131,38709.064140854,141257.975176925,10494.6167651883,5330.54703308053,68509.5373844883,10083.1302768825,5289.41842445066
"MARr101",0.696284052,"MAR","DHS",7990728.002,82864.2320887109,239383.682608158,3394157.2086762,419385.754951114,151632.756369198,2838698.44689001,684019.456648602,180586.463768007
"MARr102",0.678507221,"MAR","DHS",3741941.715,38804.1148011271,112099.897233091,1589434.45994339,196392.249959648,71007.414628094,1329321.19977864,320316.363923839,84566.0147321633
"MARr103",0.710720025,"MAR","DHS",8034511.205,83318.2660007738,240695.325848661,3412754.64736316,421683.674695064,152463.590274682,2854252.38769802,687767.370820991,181575.942298653
"MARr104",0.639022153,"MAR","DHS",2167802.266,22480.2133231536,64942.3293436473,920799.917890697,113775.038980628,41136.4061916137,770109.672625401,185567.438628845,48991.2490160133
"MARr105",0.66035408,"MAR","DHS",2508276.993,26010.9525488421,75142.1626959861,1065420.62688365,131644.531020519,47597.2845141068,891062.992335232,214712.635124938,56685.8078767227
"MARr106",0.64066169,"MAR","DHS",5993266.195,62150.4574836741,179544.358442809,2545711.4363276,314550.87285964,113728.745688094,2129102.05869687,513033.44141213,135444.824089182
"MARr107",0.660131299,"MAR","DHS",4587638.749,47574.0335475255,137435.019429598,1948654.38128082,240777.853996631,87055.4358204784,1629754.25873828,392709.42066926,103678.345517409
"MDAr101",0.691110415,"MDA","DHS",874250.7378,9066.02202235564,26190.524954057,371348.448245474,45884.2180083032,16589.858783485,310576.734806159,74837.3007434268,19757.6302367391
"MDAr102",0.688220764,"MDA","DHS",1140568.73,11827.752356505,34168.7944811501,484470.19795333,59861.6643921505,21643.5323934351,405185.945712573,97634.5587998637,25776.2839109921
"MDAr103",0.707267614,"MDA","DHS",664365.0233,6889.49711072308,19902.8356157039,282196.98286084,34868.5660167694,12607.0490314589,236015.036344339,56870.7384534001,15014.3178667661
"MDAr104",0.777931199,"MDA","DHS",605826.3996,6282.44877930491,18149.1541848491,257332.002903118,31796.2220591126,11496.2149668444,215219.246506582,51859.7360057872,13691.3741944019
"MDGr101",0.632166825,"MDG","DHS",4086749.816,42379.7913227382,122429.548422551,1735895.82132701,214489.17501015,77550.5234361991,1451813.94643937,349832.504359982,92358.505681995
"MDGr102",0.529450557,"MDG","DHS",1855776.522,19244.4914137109,55594.7615565101,788263.25439457,97398.6647405249,35215.3782691231,659262.826798487,158857.521858078,41939.6229689951
"MDGr103",0.519738355,"MDG","DHS",722643.4078,7493.84674917335,21648.7208835509,306951.423108483,37927.2515676662,13712.9447741581,256718.376456279,61859.4639975646,16331.3802631251
"MDGr104",0.491695539,"MDG","DHS",555234.3097,5757.80638398408,16633.5324807849,235842.408138648,29140.9443657716,10536.1750255406,197246.455167908,47528.9699184602,12548.0182189029
"MDGr105",0.515398598,"MDG","DHS",1199497.486,12438.8463785592,35934.1633711019,509500.891267589,62954.4840723103,22761.7696428386,426120.329675148,102678.957213877,27108.0443785771
"MDGr106",0.529151391,"MDG","DHS",737432.5007,7647.21035085524,22091.7678149382,313233.267048579,38703.4430347461,13993.5838999131,261972.187502736,63125.4346684787,16665.6063797542
"MDGr107",0.47278909,"MDG","DHS",1654351.018,17155.6992901568,49560.5205078027,702705.364519991,86827.0388460751,31393.1102145816,587706.60998999,141615.16749853,37387.507132873
